,date,static area (km^2),evolving area (km^2)
0,2016-02-15,73.34051986898787,8.377902470098496
1,2017-02-15,73.34051986898787,0.736496914457202
2,2019-05-18,73.34051986898787,13.68526110586869
3,2019-05-18,73.34051986898787,33.32574743780178
4,2019-08-17,73.34051986898787,14.239809450663998
5,2019-08-17,73.34051986898787,8.834958861400604
6,2019-11-16,73.34051986898787,12.10733058739877
7,2020-02-16,73.34051986898787,18.63695366284412
8,2020-05-17,73.34051986898787,79.24854888978767
12,2021-05-17,73.34051986898787,2.072761138200581
13,2021-08-17,73.34051986898787,87.89571328772888
14,2021-11-16,73.34051986898787,111.68775153038145
