midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2019-02-15 21:45:00,320402616.21342665,0.7571747303009033,0.011489353142678738,0.7456853985786438,238919552.5767493,725151582.7777017,0.3410428,0.0528361,0.2882067,208993542.14158762,-404748966.5642751,-0.04134674742817879,0.45747870206832886,29926010.43516168
2019-05-18 05:15:00,327729235.3538415,0.8142603635787964,0.01570379175245762,0.7985565662384033,261710332.84010118,725151582.7777017,0.3324435,0.05027582,0.28216767,204614334.76511517,-397422347.42386025,-0.03457202762365341,0.5163888931274414,57095998.07498601
2019-08-17 12:45:00,285489891.547225,0.5324276089668274,0.010941145941615105,0.5214864611625671,148879113.24064746,725151582.7777017,0.20564349,0.041003853,0.16463964,119388693.26727141,-439661691.23047674,-0.030062707141041756,0.35684680938720703,29490419.97337605
2019-11-16 20:15:00,252570384.52094334,0.4816683530807495,0.01894245855510235,0.4627259075641632,116870860.40128319,725151582.7777017,0.18017955,0.053818766,0.12636079,91630726.10188326,-472581198.2567584,-0.03487630933523178,0.33636510372161865,25240134.299399927
2020-02-16 03:45:00,287773784.9843806,0.557688295841217,0.019477348774671555,0.538210928440094,154882995.99716347,725151582.7777017,0.22024299,0.057048835,0.16319415,118340495.97864869,-437377797.79332113,-0.037571486085653305,0.3750167787075043,36542500.01851478
2020-05-17 11:15:00,278126181.53026634,0.5575230121612549,-0.010249625891447067,0.567772626876831,157912432.6906617,725151582.7777017,0.19175492,0.04046471,0.15129021,109708333.86340569,-447025401.2474354,-0.05071433633565903,0.41648241877555847,48204098.82725601
2020-08-16 18:45:00,318609492.75700504,0.5880855321884155,0.06292756646871567,0.5251579880714417,167320320.19673133,725151582.7777017,0.27054533,0.077008925,0.1935364,140343227.3615815,-406542090.0206967,-0.014081358909606934,0.33162158727645874,26977092.835149825
2020-11-16 02:15:00,321134036.5946231,0.6034343838691711,0.07258935272693634,0.530845046043396,170472412.44217432,725151582.7777017,0.29317123,0.08787202,0.2052992,148873038.82770503,-404017546.18307865,-0.015282668173313141,0.3255458474159241,21599373.61446929
2021-02-15 09:45:00,298954467.977911,0.5184605121612549,0.031424228101968765,0.4870362877845764,145601674.30057478,725151582.7777017,0.22324547,0.029671224,0.19357425,140370673.58716887,-426197114.79979074,0.0017530042678117752,0.29346203804016113,5231000.713405907
2021-05-17 17:15:00,305939751.8131315,0.45406031608581543,0.026609426364302635,0.42745089530944824,130774220.82327345,725151582.7777017,0.17180388,0.06487107,0.106932804,77542492.06308714,-419211830.9645702,-0.038261644542217255,0.3205180764198303,53231728.760186315
2021-08-17 00:45:00,344842317.4878267,0.47885921597480774,0.07642854005098343,0.4024306833744049,138775129.4830396,725151582.7777017,0.19074222,0.14679159,0.043950632,31870870.514458828,-380309265.28987503,-0.07036305218935013,0.3584800362586975,106904258.96858075
2021-11-16 08:15:00,279757403.35003304,0.41883379220962524,0.007731965277343988,0.4111018180847168,115008777.13985802,725151582.7777017,0.12895843,0.081821404,0.04713703,34181491.5268941,-445394179.4276687,-0.07408943772315979,0.3639647960662842,80827285.61296391
2022-02-15 15:45:00,216301435.10101014,0.4011613130569458,0.02734486013650894,0.37381646037101746,80857036.84263097,725151582.7777017,0.11314234,0.08940444,0.0237379,17213575.72715095,-508850147.6766916,-0.06205958127975464,0.3500785529613495,63643461.11548002
2022-05-17 23:15:00,83889296.53995517,0.37215378880500793,0.026018891483545303,0.34613490104675293,29037013.356739096,725151582.7777017,0.0649956,0.05458461,0.010410991,7549546.287229675,-641262286.2377466,-0.028565719723701477,0.3357239067554474,21487467.06950942
2022-08-17 06:45:00,352817757.9724649,0.5642273426055908,0.031154721975326538,0.5330725908279419,188077476.3324876,725151582.7777017,0.23897351,0.089422464,0.14955105,108447179.79766656,-372333824.8052368,-0.058267742395401,0.38352155685424805,79630296.53482105
2022-11-16 14:15:00,379189758.9741053,0.6460391283035278,0.02617916837334633,0.6198599338531494,235044538.91548058,725151582.7777017,0.27368313,0.101708114,0.17197502,124707955.48131211,-345961823.80359644,-0.07552894949913025,0.4478849172592163,110336583.43416847
2023-02-15 21:45:00,295410917.8468114,0.4064856469631195,-0.021003227680921555,0.42748886346817017,126284877.5264224,725151582.7777017,0.114868954,0.032396153,0.0824728,59805282.33245169,-429740664.9308903,-0.053399380296468735,0.3450160622596741,66479595.1939707
2023-05-18 05:15:00,198906208.4034199,0.3676230013370514,0.09033884853124619,0.2772841453552246,55153538.002990484,725151582.7777017,0.12456451,0.11750633,0.007058181,5118251.028415177,-526245374.3742818,-0.027167484164237976,0.27022597193717957,50035286.97457531
2023-08-17 12:45:00,141647139.974824,0.3330748975276947,0.07705141603946686,0.25602346658706665,36264991.808497906,725151582.7777017,0.12765977,0.077893354,0.049766414,36088193.78516865,-583504442.8028777,-0.0008419379591941833,0.20625704526901245,176798.02332925797
2023-11-16 20:15:00,0.0,0.0,0.0,0.0,0.0,725151582.7777017,0.14059773,0.10953049,0.031067237,22528456.270138238,-725151582.7777017,-0.1095304936170578,-0.03106723725795746,-22528456.270138238
