midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dV_corr (m^3)
2019-02-15 21:45:00,34816456.78533608,0.11107701063156128,0.028131715953350067,0.08294529467821121,2887861.2677109074,1257869664.2202933,0.030449455603957176,0.01865258999168873,0.011796865612268448,14838919.386556037,-1223053207.4349573,0.009479125961661339,0.07114842906594276,-11951058.11884513
2019-05-18 05:15:00,60420380.3476392,-0.12087362259626389,0.01599845290184021,-0.1368720754981041,-8269862.860566238,1257869664.2202933,-0.009882035665214062,0.016500219702720642,-0.026382255367934704,-33185438.701038055,-1197449283.872654,-0.0005017668008804321,-0.11048982013016939,24915575.84047182
2019-08-17 12:45:00,250703729.17003304,-0.08646764606237411,0.009590397588908672,-0.09605804365128279,-24082109.76015441,1257869664.2202933,-0.025406278669834137,0.007307751569896936,-0.03271403023973107,-41149986.23294304,-1007165935.0502603,0.002282646019011736,-0.06334401341155171,17067876.472788632
2019-11-16 20:15:00,630843336.6343375,-0.21611742675304413,-0.023337073624134064,-0.19278035312891006,-121614201.20538747,1257869664.2202933,-0.12840180099010468,-0.01920362561941147,-0.1091981753706932,-137357072.18700257,-627026327.5859557,-0.004133448004722595,-0.08358217775821686,15742870.981615096
2020-02-16 03:45:00,602288146.279704,-0.20722955465316772,-0.01067279651761055,-0.19655675813555717,-118383805.49621285,1257869664.2202933,-0.11424420028924942,-0.010134375654160976,-0.10410982463508844,-130956590.15577231,-655581517.9405893,-0.0005384208634495735,-0.09244693350046873,12572784.659559458
2020-05-17 11:15:00,515678423.87511814,-0.2201109230518341,-0.002363421255722642,-0.21774750179611146,-112287688.52896321,1257869664.2202933,-0.1008889228105545,8.692389383213595e-05,-0.10097584670438664,-127014454.38840663,-742191240.3451751,-0.002450345149554778,-0.11677165509172482,14726765.859443426
2020-08-16 18:45:00,548712190.0012567,-0.22427478432655334,0.0068139745853841305,-0.23108875891193748,-126801218.98724164,1257869664.2202933,-0.10408534109592438,0.011592665687203407,-0.11567800678312778,-145507855.54996577,-709157474.2190366,-0.004778691101819277,-0.11541075212880969,18706636.56272413
2020-11-16 02:15:00,661488382.4470874,-0.2613905370235443,-0.006422776263207197,-0.2549677607603371,-168658211.64151135,1257869664.2202933,-0.1488126814365387,-0.004300643689930439,-0.14451203774660826,-181777308.39611647,-596381281.7732059,-0.002122132573276758,-0.11045572301372886,13119096.754605114
2021-02-15 09:45:00,793142097.8195425,-0.26406896114349365,-0.031038884073495865,-0.2330300770699978,-184825964.1823477,1257869664.2202933,-0.1801026165485382,-0.0267914030700922,-0.153311213478446,-192845524.61933857,-464727566.40075076,-0.004247481003403664,-0.07971886359155178,8019560.436990857
2021-05-17 17:15:00,627227822.5465528,-0.30311739444732666,-0.002585280453786254,-0.3005321139935404,-188502103.46548074,1257869664.2202933,-0.15917478501796722,0.0030134161934256554,-0.16218820121139288,-204011618.19826812,-630641841.6737405,-0.005598696647211909,-0.13834391278214753,15509514.73278737
2021-08-17 00:45:00,567949483.5028019,-0.235246479511261,0.0006744901766069233,-0.2359209696878679,-133991192.88170476,1257869664.2202933,-0.12183275073766708,0.005910661071538925,-0.127743411809206,-160684562.51880062,-689920180.7174914,-0.005236170894932002,-0.1081775578786619,26693369.637095854
2021-11-16 08:15:00,622281404.0569279,-0.19145715236663818,-0.0316157341003418,-0.1598414182662964,-99466342.1852016,1257869664.2202933,-0.11876905709505081,-0.02577821910381317,-0.09299083799123764,-116970354.15960178,-635588260.1633654,-0.0058375149965286255,-0.06685058027505875,17504011.974400178
2022-02-15 15:45:00,529663798.13855594,-0.18295173346996307,-0.01171835232526064,-0.17123338114470243,-90696123.02521008,1257869664.2202933,-0.09908530116081238,-0.010260459966957569,-0.08882484119385481,-111730073.16693503,-728205866.0817373,-0.00145789235830307,-0.08240853995084763,21033950.141724944
