midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),static_outline_area (m^2),static_outline_dh (m),static_outline_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2018-11-16 14:15:00,120273856.15707351,0.0448415391147136,0.02690383605659,0.0179377030581235,2157436.717401054,185486899.50942028,0.0048710103,-0.0055732103,0.01044422,1937266.0144333213,-65213043.35234675,0.0324770472943782,0.007493482902646,220170.7029677329
2019-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,185486899.50942028,0.018320326,0.012098969,0.006221357,1153980.183887075,-185486899.50942028,-0.0120989689603447,-0.0062213568016886,-1153980.183887075
2019-05-18 05:15:00,0.0,0.0,0.0,0.0,0.0,185486899.50942028,0.013708631,0.0037266465,0.009981984,1851527.3136762253,-185486899.50942028,-0.0037266465369611,-0.0099819842725992,-1851527.3136762253
2019-08-17 12:45:00,0.0,0.0,0.0,0.0,0.0,185486899.50942028,0.0029138385,0.0067213713,-0.0038075328,-706247.4601384107,-185486899.50942028,-0.0067213713191449,0.0038075328338891,706247.4601384107
2019-11-16 20:15:00,0.0,0.0,0.0,0.0,0.0,185486899.50942028,-0.033501558,-0.029728124,-0.003773434,-699922.5894184049,-185486899.50942028,0.0297281239181756,0.003773434087634,699922.5894184049
2020-02-16 03:45:00,0.0,0.0,0.0,0.0,0.0,185486899.50942028,0.006045178,0.00958352,-0.0035383417,-656316.0363660263,-185486899.50942028,-0.0095835197716951,0.0035383417271077,656316.0363660263
2020-05-17 11:15:00,0.0,0.0,0.0,0.0,0.0,185486899.50942028,-0.004541555,-0.0042004194,-0.00034113554,-63276.17415381113,-185486899.50942028,0.0042004194110631,0.0003411355428397,63276.17415381113
2020-08-16 18:45:00,0.0,0.0,0.0,0.0,0.0,185486899.50942028,-0.0048646033,-0.0014648438,-0.0033997595,-630610.854486708,-185486899.50942028,0.00146484375,0.0033997595310211,630610.854486708
2020-11-16 02:15:00,0.0,0.0,0.0,0.0,0.0,185486899.50942028,-0.0009040622,0.00050479075,-0.0014088529,-261323.75065535615,-185486899.50942028,-0.0005047907470725,0.0014088528696447,261323.75065535615
2021-02-15 09:45:00,0.0,0.0,0.0,0.0,0.0,185486899.50942028,0.010995096,0.018746799,-0.0077517033,-1437839.404046483,-185486899.50942028,-0.0187467988580465,0.0077517032623291,1437839.404046483
2021-05-17 17:15:00,0.0,0.0,0.0,0.0,0.0,185486899.50942028,-0.009075355,-0.013026003,0.003950648,732793.4503866105,-185486899.50942028,0.0130260027945041,-0.003950648009777,-732793.4503866105
2021-08-17 00:45:00,0.0,0.0,0.0,0.0,0.0,185486899.50942028,0.016702052,0.021488378,-0.0047863256,-887800.6990412012,-185486899.50942028,-0.0214883778244256,0.0047863256186246,887800.6990412012
2021-11-16 08:15:00,0.0,0.0,0.0,0.0,0.0,185486899.50942028,-0.007392335,-0.012614766,0.005222431,968692.5189497912,-185486899.50942028,0.0126147661358118,-0.0052224309183657,-968692.5189497912
2022-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,185486899.50942028,-0.011139085,-0.0014883573,-0.009650728,-1790083.5653836108,-185486899.50942028,0.0014883573167026,0.0096507277339696,1790083.5653836108
2022-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,185486899.50942028,0.015974687,0.0040048067,0.011969881,2220256.138716446,-185486899.50942028,-0.0040048067457973,-0.011969881132245,-2220256.138716446
2022-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,185486899.50942028,0.007516766,0.0062080757,0.0013086903,242744.90447676703,-185486899.50942028,-0.0062080756761133,-0.001308690290898,-242744.90447676703
2022-11-16 14:15:00,0.0,0.0,0.0,0.0,0.0,185486899.50942028,-0.023828665,-0.017876297,-0.0059523676,-1104086.2032733436,-185486899.50942028,0.0178762972354888,0.0059523675590753,1104086.2032733436
2023-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,185486899.50942028,-0.019096248,-0.010548576,-0.008547672,-1585481.1903919678,-185486899.50942028,0.0105485757812857,0.0085476720705628,1585481.1903919678
