midcyc_datetime,evolving_union_area (m^2),evolving_union_dh (m),evolving_union_region_dh (m),evolving_union_dh_corr (m),evolving_union_dV_corr (m^3),stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dV_corr (m^3)
2010-08-17 06:45:00,245482775.56526077,-0.10813569196235338,-0.0676654810313056,-0.04047021093104779,-9934739.707065167,959920029.875884,-0.061117150762083496,-0.017457747838209702,-0.0436594029238738,-41909535.359048195,-714437254.3106233,-0.05020773319309589,0.00318919199282601,31974795.65198303
2010-11-16 11:15:00,245482775.56526077,-0.07540017898973181,-0.04864434685806766,-0.026755832131664152,-6568095.934239103,959920029.875884,-0.04575501405442682,-0.008313044812917598,-0.03744196924150922,-35941296.232921466,-714437254.3106233,-0.04033130204515006,0.010686137109845069,29373200.29868236
2011-02-15 15:45:00,245482775.56526077,-0.021059237873848474,-0.019455027648333505,-0.0016042102255149696,-393805.9787495876,959920029.875884,-0.020348600197005205,0.005841207835354762,-0.026189808032359967,-25140121.30886665,-714437254.3106233,-0.025296235483688267,0.024585597806844998,24746315.33011706
2011-05-17 23:15:00,245482775.56526077,0.0030954366474385594,-0.010963336888298446,0.014058773535737005,3451186.7485961546,959920029.875884,-0.011033558498805513,0.02140134347031517,-0.03243490196912068,-31134912.067219697,-714437254.3106233,-0.03236468035861362,0.04649367550485769,34586098.81581585
2011-08-17 06:45:00,245482775.56526077,-0.0016689850254339696,-0.011761037857924933,0.010092052832490962,2477425.140471133,959920029.875884,-0.01185798176465411,0.023898595310767573,-0.03575657707542168,-34323454.53449813,-714437254.3106233,-0.03565963316869251,0.04584862990791264,36800879.67496926
2011-11-16 11:15:00,245482775.56526077,-0.032336200297674776,-0.0198492330477464,-0.012486967249928375,-3065335.3789049285,959920029.875884,-0.02141636052546412,0.026680059708830917,-0.048096420234295036,-46168717.148227565,-714437254.3106233,-0.046529292756577315,0.03560945298436666,43103381.769322634
2012-02-15 15:45:00,245482775.56526077,-0.030367071019889738,-0.006851071067869735,-0.023515999952020004,-5772772.93841441,959920029.875884,-0.007564047544986164,0.018143908738842394,-0.02570795628382856,-24677582.16402063,-714437254.3106233,-0.024994979806712128,0.0021919563318085547,18904809.22560622
2012-05-16 23:15:00,245482775.56526077,-0.017858907749459186,0.0024573903523558145,-0.020316298101815,-4987301.247244786,959920029.875884,0.006008133116702791,0.00433024043431638,0.0016778926823864115,1610642.7938048914,-714437254.3106233,-0.0018728500819605652,-0.021994190784201412,-6597944.041049677
2012-08-16 06:45:00,245482775.56526077,-0.0182307247657537,-0.00211710078316065,-0.01611362398259305,-3955617.139661893,959920029.875884,0.006858636415382158,-0.0008167285751163263,0.007675364990498484,7367736.590987619,-714437254.3106233,-0.0013003722080443237,-0.023788988973091535,-11323353.730649512
2012-11-15 23:15:00,245482775.56526077,-0.027869361215562296,-0.011065697389831698,-0.0168036638257306,-4125010.035605916,959920029.875884,0.010928619747135469,-0.00014550972575217908,0.011074129472887648,10630278.694463719,-714437254.3106233,-0.010920187664079518,-0.027877793298618246,-14755288.730069634
2013-02-15 15:45:00,245482775.56526077,-0.008105262067506292,0.0026979410790372157,-0.010803203146543507,-2652000.2934088586,959920029.875884,0.027278909095555425,0.005273045491542878,0.02200586360401255,21123869.248208355,-714437254.3106233,-0.0025751044125056624,-0.03280906675055606,-23775869.541617215
2013-05-17 23:15:00,245482775.56526077,0.00896166163015832,0.012320237312864033,-0.003358575682705712,-824472.4805365888,959920029.875884,0.032553653821439966,0.0015033926879176216,0.031050261133522345,29805767.59494477,-714437254.3106233,0.010816844624946411,-0.034408836816228056,-30630240.07548136
2013-08-17 06:45:00,245482775.56526077,0.008341266895435932,0.012349687236828366,-0.004008420341392434,-983998.1510372647,959920029.875884,0.014970966547121689,-0.007161149348622238,0.022132115895743928,21245061.35185904,-714437254.3106233,0.019510836585450605,-0.02614053623713636,-22229059.502896305
2013-11-16 11:15:00,245482775.56526077,-0.003361775797120934,0.007594737984347961,-0.010956513781468894,-2689635.413594015,959920029.875884,0.007579113938656378,-0.007790816709835732,0.01536993064849211,14753904.287290812,-714437254.3106233,0.015385554694183692,-0.026326444429961002,-17443539.700884826
2014-02-15 15:45:00,245482775.56526077,-0.0036872802568721262,0.009468339314269198,-0.013155619571141326,-3229478.006604438,959920029.875884,0.011059728455241526,-0.006751691990466488,0.017811420445708014,17097539.246375967,-714437254.3106233,0.016220031304735687,-0.03096704001684934,-20327017.252980404
