mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-04-02 13:30:00,69169063.0,-0.27,-0.08,-0.19,-13142122.0
2019-07-02 21:00:00,6522674.0,0.25,-0.0,0.25,1630668.0
2019-10-02 04:30:00,12363356.0,0.25,0.0,0.25,3090839.0
2020-01-01 12:00:00,,,-0.0,,
2020-04-01 19:30:00,,,0.03,,
2020-07-02 03:00:00,2361086.0,-0.24,-0.04,-0.2,-472217.0
2020-10-01 10:30:00,29757681.0,-0.27,-0.0,-0.27,-8034574.0
2020-12-31 18:00:00,46322163.0,-0.29,-0.0,-0.29,-13433427.0
2021-04-02 01:30:00,119253499.0,-0.33,-0.09,-0.24,-28620838.0
2021-07-02 09:00:00,,,-0.07,,
2021-10-01 16:30:00,77513659.0,0.37,0.06,0.31,24029234.0
2022-01-01 00:00:00,,,-0.05,,
2022-04-02 07:30:00,112495959.0,-0.44,-0.05,-0.39,-43873424.0
2022-07-02 15:00:00,27626880.0,-0.28,-0.06,-0.22,-6077914.0
2022-10-01 22:30:00,,,-0.02,,
2023-01-01 06:00:00,61249333.0,0.35,0.01,0.34,20824774.0
2023-04-02 13:30:00,2831556.0,-0.25,-0.04,-0.21,-594627.0
2023-07-02 21:00:00,197795169.0,-0.53,-0.1,-0.43,-85051920.0
2023-10-02 04:30:00,4353977.0,-0.25,-0.04,-0.21,-914335.0
2024-01-01 12:00:00,62399112.0,0.35,0.04,0.31,19343724.0
2024-04-01 19:30:00,13728775.0,0.24,-0.02,0.26,3569481.0
2024-07-02 03:00:00,,,-0.02,,
2024-10-01 10:30:00,133074546.0,-0.4,-0.08,-0.32,-42583852.0
2024-12-31 18:00:00,,,-0.02,,
