mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-04-02 13:30:00,6558425.0,-0.1,-0.02,-0.08,-524674.0
2019-07-02 21:00:00,,,0.01,,
2019-10-02 04:30:00,10351469.0,0.11,0.03,0.08,828118.0
2020-01-01 12:00:00,,,-0.01,,
2020-04-01 19:30:00,,,-0.01,,
2020-07-02 03:00:00,,,-0.04,,
2020-10-01 10:30:00,84497300.0,0.12,0.07,0.05,4224865.0
2020-12-31 18:00:00,,,0.02,,
2021-04-02 01:30:00,3690237.0,-0.11,-0.04,-0.07,-258317.0
2021-07-02 09:00:00,2294460.0,0.09,0.01,0.08,183557.0
2021-10-01 16:30:00,,,0.01,,
2022-01-01 00:00:00,,,-0.03,,
2022-04-02 07:30:00,2643932.0,-0.1,-0.03,-0.07,-185075.0
2022-07-02 15:00:00,,,0.0,,
2022-10-01 22:30:00,18380644.0,0.13,0.02,0.11,2021871.0
2023-01-01 06:00:00,,,-0.03,,
2023-04-02 13:30:00,857505.0,-0.1,-0.04,-0.06,-51450.0
2023-07-02 21:00:00,29222816.0,0.12,0.03,0.09,2630054.0
2023-10-02 04:30:00,26374841.0,0.14,0.04,0.1,2637484.0
2024-01-01 12:00:00,3107278.0,-0.1,0.01,-0.11,-341801.0
2024-04-01 19:30:00,4812475.0,-0.1,-0.04,-0.06,-288748.0
2024-07-02 03:00:00,17834525.0,0.11,0.03,0.08,1426762.0
2024-10-01 10:30:00,,,-0.0,,
2024-12-31 18:00:00,,,0.01,,
