mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-01-01 00:00:00,124988916,-1.55,0.1,-1.65,-206231711
2019-04-02 06:00:00,101191553,-1.19,0.1,-1.29,-130537103
2019-07-02 12:00:00,12316392,-0.3,0.06,-0.36,-4433901
2019-10-01 18:00:00,87166038,0.62,0.04,0.58,50556302
2020-01-01 00:00:00,11619017,0.4,0.07,0.33,3834276
2020-04-01 12:00:00,65496126,-0.84,0.09,-0.93,-60911397
2020-07-02 00:00:00,79692841,-1.01,0.08,-1.09,-86865197
2020-10-01 12:00:00,61332948,-0.69,0.05,-0.74,-45386382
2021-01-01 00:00:00,0,0.0,-0.01,0.0,0
2021-04-02 06:00:00,0,0.0,-0.0,0.0,0
2021-07-02 12:00:00,0,0.0,0.0,0.0,0
