mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-01-01 00:00:00,33063776.0,-0.45,0.02,-0.4699999988079071,-15539975.0
2019-04-02 06:00:00,43543847.0,-0.49,0.01,-0.5,-21771924.0
2019-07-02 12:00:00,46398616.0,-0.47,0.03,-0.5,-23199308.0
2019-10-01 18:00:00,43791250.0,-0.46,0.07,-0.5299999713897705,-23209360.0
2020-01-01 00:00:00,31345808.0,-0.4,0.07,-0.4699999988079071,-14732530.0
2020-04-01 12:00:00,112448.0,-0.29,0.05,-0.3400000035762787,-38232.0
2020-07-02 00:00:00,,,0.04,,
2020-10-01 12:00:00,,,0.05,,
2021-01-01 00:00:00,,,0.03,,
2021-04-02 06:00:00,,,0.02,,
2021-07-02 12:00:00,,,0.02,,
