mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),date,mid_pt_datetime_CS2,evolving_outlines_area (m^2)_CS2,evolving_outlines_dh (m)_CS2,evolving_outlines_region_dh (m)_CS2,evolving_outlines_dh_corr (m)_CS2,evolving_outlines_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,49037988,0.36,0.05,0.31,15201776,2019-01-01,2019-01-01 00:00:00,48923297.0,0.35,0.05,0.3,14676989.0,David_s1
2019-04-02 13:30:00,0,0.0,-0.01,0.0,0,2019-04-02,2019-04-02 06:00:00,56627141.0,0.35,0.06,0.29,16421871.0,David_s1
2019-07-02 21:00:00,66512262,-0.11,-0.14,0.03,1995368,2019-07-02,2019-07-02 12:00:00,68852502.0,0.34,0.05,0.29,19967226.0,David_s1
2019-10-02 04:30:00,0,0.0,0.29,0.0,0,2019-10-02,2019-10-01 18:00:00,60741636.0,0.33,0.02,0.31,18829907.0,David_s1
2020-01-01 12:00:00,60275727,0.17,-0.04,0.21,12657903,2020-01-01,2020-01-01 00:00:00,51233025.0,0.33,-0.01,0.34,17419228.0,David_s1
2020-04-01 19:30:00,33803154,0.34,0.08,0.26,8788820,2020-04-01,2020-04-01 12:00:00,39630466.0,0.32,0.01,0.31,12285444.0,David_s1
2020-07-02 03:00:00,13319406,0.34,-0.02,0.36,4794986,2020-07-02,2020-07-02 00:00:00,17433116.0,0.31,0.05,0.26,4532610.0,David_s1
2020-10-01 10:30:00,95071817,0.37,0.12,0.25,23767954,2020-10-01,2020-10-01 12:00:00,0.0,0.0,0.05,0.0,0.0,David_s1
2020-12-31 18:00:00,2707913,0.01,0.04,-0.03,-81237,2020-12-31,2021-01-01 00:00:00,0.0,0.0,0.04,0.0,0.0,David_s1
2021-04-02 01:30:00,4768471,-0.35,-0.0,-0.35,-1668965,2021-04-02,2021-04-02 06:00:00,0.0,0.0,0.03,0.0,0.0,David_s1
2021-07-02 09:00:00,3924374,0.33,-0.03,0.36,1412775,2021-07-02,2021-07-02 12:00:00,0.0,0.0,0.02,0.0,0.0,David_s1
