mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),date,mid_pt_datetime_CS2,evolving_outlines_area (m^2)_CS2,evolving_outlines_dh (m)_CS2,evolving_outlines_region_dh (m)_CS2,evolving_outlines_dh_corr (m)_CS2,evolving_outlines_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,19596496.0,-0.48,-0.05,-0.43,-8426493.0,2019-01-01,2019-01-01 00:00:00,19596496.0,-0.48,-0.05,-0.4300000071525574,-8426493.0,R1
2019-04-02 13:30:00,,,-0.17,,,2019-04-02,2019-04-02 06:00:00,25045825.0,-0.5,-0.07,-0.4300000071525574,-10769704.0,R1
2019-07-02 21:00:00,28043856.0,-0.64,0.06,-0.7,-19630698.0,2019-07-02,2019-07-02 12:00:00,22036636.0,-0.47,-0.06,-0.4099999964237213,-9035021.0,R1
2019-10-02 04:30:00,278470.0,-0.4,0.09,-0.49,-136450.0,2019-10-02,2019-10-01 18:00:00,10709673.0,-0.42,-0.04,-0.3799999952316284,-4069676.0,R1
2020-01-01 12:00:00,,,-0.09,,,2020-01-01,2020-01-01 00:00:00,,,-0.02,,,R1
2020-04-01 19:30:00,27267433.0,0.46,-0.09,0.55,14997088.0,2020-04-01,2020-04-01 12:00:00,,,-0.02,,,R1
2020-07-02 03:00:00,37836482.0,0.73,0.04,0.69,26107172.0,2020-07-02,2020-07-02 00:00:00,,,0.01,,,R1
2020-10-01 10:30:00,35299918.0,0.64,0.08,0.56,19767956.0,2020-10-01,2020-10-01 12:00:00,,,0.03,,,R1
2020-12-31 18:00:00,18522691.0,0.46,-0.01,0.47,8705665.0,2020-12-31,2021-01-01 00:00:00,,,0.04,,,R1
2021-04-02 01:30:00,557452.0,0.39,-0.1,0.49,273152.0,2021-04-02,2021-04-02 06:00:00,,,0.04,,,R1
2021-07-02 09:00:00,19631399.0,0.45,0.2,0.25,4907850.0,2021-07-02,2021-07-02 12:00:00,,,0.04,,,R1
