mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),date,mid_pt_datetime_CS2,evolving_outlines_area (m^2)_CS2,evolving_outlines_dh (m)_CS2,evolving_outlines_region_dh (m)_CS2,evolving_outlines_dh_corr (m)_CS2,evolving_outlines_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,69326198.0,0.39,-0.04,0.43,29810266.0,2019-01-01,2019-01-01 00:00:00,69753687.0,0.39,-0.04,0.4300000071525574,29994086.0,Rec1
2019-04-02 13:30:00,15505184.0,0.34,-0.0,0.34,5271762.0,2019-04-02,2019-04-02 06:00:00,19793455.0,-0.32,-0.06,-0.2599999904632568,-5146298.0,Rec1
2019-07-02 21:00:00,249169905.0,-0.89,-0.03,-0.86,-214286128.0,2019-07-02,2019-07-02 12:00:00,155681376.0,-0.43,-0.07,-0.3600000143051147,-56045296.0,Rec1
2019-10-02 04:30:00,51787844.0,-0.36,0.04,-0.4,-20715138.0,2019-10-02,2019-10-01 18:00:00,3411397.0,-0.3,-0.07,-0.2300000041723251,-784621.0,Rec1
2020-01-01 12:00:00,147374549.0,0.6,-0.08,0.68,100214688.0,2020-01-01,2020-01-01 00:00:00,,,-0.06,,,Rec1
2020-04-01 19:30:00,80178160.0,0.43,0.03,0.4,32071264.0,2020-04-01,2020-04-01 12:00:00,,,-0.05,,,Rec1
2020-07-02 03:00:00,132997592.0,-0.57,-0.06,-0.51,-67828768.0,2020-07-02,2020-07-02 00:00:00,912094.0,-0.29,-0.03,-0.2599999904632568,-237144.0,Rec1
2020-10-01 10:30:00,3944850.0,-0.36,0.0,-0.36,-1420146.0,2020-10-01,2020-10-01 12:00:00,,,-0.02,,,Rec1
2020-12-31 18:00:00,113649813.0,0.5,0.06,0.44,50005920.0,2020-12-31,2021-01-01 00:00:00,,,0.0,,,Rec1
2021-04-02 01:30:00,44317401.0,0.41,-0.07,0.48,21272352.0,2021-04-02,2021-04-02 06:00:00,,,0.01,,,Rec1
2021-07-02 09:00:00,20167836.0,0.35,-0.02,0.37,7462100.0,2021-07-02,2021-07-02 12:00:00,,,0.01,,,Rec1
