mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),date,mid_pt_datetime_CS2,evolving_outlines_area (m^2)_CS2,evolving_outlines_dh (m)_CS2,evolving_outlines_region_dh (m)_CS2,evolving_outlines_dh_corr (m)_CS2,evolving_outlines_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,,,0.06,,,2019-01-01,2019-01-01 00:00:00,,,0.06,,,UpperEngelhardtSubglacialLake
2019-04-02 13:30:00,,,0.12,,,2019-04-02,2019-04-02 06:00:00,,,0.08,,,UpperEngelhardtSubglacialLake
2019-07-02 21:00:00,,,0.07,,,2019-07-02,2019-07-02 12:00:00,,,0.09,,,UpperEngelhardtSubglacialLake
2019-10-02 04:30:00,41821281.0,0.31,0.22,0.09,3763915.0,2019-10-02,2019-10-01 18:00:00,,,0.07,,,UpperEngelhardtSubglacialLake
2020-01-01 12:00:00,,,0.03,,,2020-01-01,2020-01-01 00:00:00,,,0.07,,,UpperEngelhardtSubglacialLake
2020-04-01 19:30:00,10016662.0,0.35,0.06,0.29,2904832.0,2020-04-01,2020-04-01 12:00:00,17862067.0,0.34,0.1,0.2399999946355819,4286896.0,UpperEngelhardtSubglacialLake
2020-07-02 03:00:00,35339119.0,0.56,0.13,0.43,15195822.0,2020-07-02,2020-07-02 00:00:00,37182188.0,0.44,0.13,0.3100000023841858,11526478.0,UpperEngelhardtSubglacialLake
2020-10-01 10:30:00,44187655.0,0.74,0.08,0.66,29163854.0,2020-10-01,2020-10-01 12:00:00,37411113.0,0.39,0.13,0.2599999904632568,9726889.0,UpperEngelhardtSubglacialLake
2020-12-31 18:00:00,22193249.0,-0.56,0.06,-0.62,-13759814.0,2020-12-31,2021-01-01 00:00:00,817947.0,0.29,0.11,0.1800000071525573,147230.0,UpperEngelhardtSubglacialLake
2021-04-02 01:30:00,31040062.0,-0.75,0.02,-0.77,-23900848.0,2021-04-02,2021-04-02 06:00:00,,,0.11,,,UpperEngelhardtSubglacialLake
2021-07-02 09:00:00,5505024.0,-0.29,0.17,-0.46,-2532311.0,2021-07-02,2021-07-02 12:00:00,,,0.1,,,UpperEngelhardtSubglacialLake
