mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),date,mid_pt_datetime_CS2,evolving_outlines_area (m^2)_CS2,evolving_outlines_dh (m)_CS2,evolving_outlines_region_dh (m)_CS2,evolving_outlines_dh_corr (m)_CS2,evolving_outlines_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,0,0.0,-0.01,0.0,0,2019-01-01,2019-01-01 00:00:00,0.0,0.0,-0.01,0.0,0.0,WT
2019-04-02 13:30:00,0,0.0,0.14,0.0,0,2019-04-02,2019-04-02 06:00:00,0.0,0.0,0.01,0.0,0.0,WT
2019-07-02 21:00:00,16349134,0.41,0.1,0.31,5068232,2019-07-02,2019-07-02 12:00:00,0.0,0.0,0.02,0.0,0.0,WT
2019-10-02 04:30:00,23430570,0.38,0.13,0.25,5857642,2019-10-02,2019-10-01 18:00:00,0.0,0.0,0.01,0.0,0.0,WT
2020-01-01 12:00:00,0,0.0,-0.25,0.0,0,2020-01-01,2020-01-01 00:00:00,7393750.0,0.39,-0.0,0.39,2883562.0,WT
2020-04-01 19:30:00,31523513,0.48,0.03,0.45,14185581,2020-04-01,2020-04-01 12:00:00,5583487.0,0.38,-0.02,0.4,2233395.0,WT
2020-07-02 03:00:00,23141448,0.4,0.12,0.28,6479605,2020-07-02,2020-07-02 00:00:00,0.0,0.0,-0.02,0.0,0.0,WT
2020-10-01 10:30:00,0,0.0,-0.03,0.0,0,2020-10-01,2020-10-01 12:00:00,0.0,0.0,-0.03,0.0,0.0,WT
2020-12-31 18:00:00,4167420,0.38,-0.18,0.56,2333755,2020-12-31,2021-01-01 00:00:00,0.0,0.0,-0.03,0.0,0.0,WT
2021-04-02 01:30:00,22283278,0.44,0.07,0.37,8244813,2021-04-02,2021-04-02 06:00:00,0.0,0.0,-0.01,0.0,0.0,WT
2021-07-02 09:00:00,2446375,0.36,-0.18,0.54,1321042,2021-07-02,2021-07-02 12:00:00,0.0,0.0,-0.01,0.0,0.0,WT
