mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),date,mid_pt_datetime_CS2,evolving_outlines_area (m^2)_CS2,evolving_outlines_dh (m)_CS2,evolving_outlines_region_dh (m)_CS2,evolving_outlines_dh_corr (m)_CS2,evolving_outlines_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,,,0.04,,,2019-01-01,2019-01-01 00:00:00,,,0.04,,,WhillansSubglacialLake
2019-04-02 13:30:00,,,0.08,,,2019-04-02,2019-04-02 06:00:00,,,0.04,,,WhillansSubglacialLake
2019-07-02 21:00:00,,,0.02,,,2019-07-02,2019-07-02 12:00:00,,,0.03,,,WhillansSubglacialLake
2019-10-02 04:30:00,1634884.0,0.31,0.21,0.1,163488.0,2019-10-02,2019-10-01 18:00:00,,,0.05,,,WhillansSubglacialLake
2020-01-01 12:00:00,,,-0.01,,,2020-01-01,2020-01-01 00:00:00,,,0.05,,,WhillansSubglacialLake
2020-04-01 19:30:00,,,0.04,,,2020-04-01,2020-04-01 12:00:00,15706057.0,0.42,0.03,0.3899999856948852,6125362.0,WhillansSubglacialLake
2020-07-02 03:00:00,47599545.0,0.82,0.09,0.73,34747668.0,2020-07-02,2020-07-02 00:00:00,60582841.0,0.65,0.04,0.6100000143051147,36955532.0,WhillansSubglacialLake
2020-10-01 10:30:00,92426033.0,1.2,0.08,1.12,103517160.0,2020-10-01,2020-10-01 12:00:00,88801715.0,0.75,0.1,0.6499999761581421,57721112.0,WhillansSubglacialLake
2020-12-31 18:00:00,46639179.0,0.46,0.02,0.44,20521240.0,2020-12-31,2021-01-01 00:00:00,78697260.0,0.54,0.14,0.4000000059604645,31478906.0,WhillansSubglacialLake
2021-04-02 01:30:00,82726246.0,-1.14,-0.04,-1.1,-90998872.0,2021-04-02,2021-04-02 06:00:00,37583347.0,0.37,0.17,0.2000000029802322,7516670.0,WhillansSubglacialLake
2021-07-02 09:00:00,47520061.0,-0.98,0.17,-1.15,-54648068.0,2021-07-02,2021-07-02 12:00:00,2079214.0,0.31,0.16,0.1500000059604644,311882.0,WhillansSubglacialLake
