midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2014-02-15 12:45:00,0,0.0,-0.09,0.0,0
2014-05-17 23:15:00,0,0.0,-0.06,0.0,0
2014-08-17 06:45:00,0,0.0,-0.03,0.0,0
2014-11-16 14:15:00,0,0.0,0.02,0.0,0
2015-02-15 12:45:00,0,0.0,0.03,0.0,0
2015-05-17 23:15:00,21390035,0.37,0.02,0.35,7486512
2015-08-17 06:45:00,33749383,0.39,0.03,0.36,12149778
2015-11-16 14:15:00,20617432,0.34,-0.01,0.35,7216101
2016-02-15 12:45:00,1842797,0.32,-0.03,0.35,644979
2016-05-16 23:15:00,10537937,0.37,0.0,0.37,3899037
2016-08-16 06:45:00,28094596,0.41,0.05,0.36,10114055
2016-11-15 14:15:00,82162883,0.38,0.08,0.3,24648865
2017-02-16 00:45:00,93384646,0.34,0.08,0.26,24280008
2017-05-17 23:15:00,15803121,0.33,0.1,0.23,3634718
2017-08-17 06:45:00,0,0.0,0.07,0.0,0
2017-11-16 14:15:00,0,0.0,0.05,0.0,0
2018-02-15 12:45:00,6609744,0.33,0.08,0.25,1652436
2018-05-17 23:15:00,82328505,0.43,0.12,0.31,25521837
2018-08-17 06:45:00,17986507,-0.4,0.08,-0.48,-8633523
2018-11-16 14:15:00,244842743,-0.67,0.0,-0.67,-164044638
2019-02-15 12:45:00,283944940,-0.65,-0.04,-0.61,-173206413
2019-05-18 05:15:00,103573611,-0.37,-0.09,-0.28,-29000611
2019-08-17 12:45:00,41271827,-0.53,-0.03,-0.5,-20635914
2019-11-16 20:15:00,47402857,0.32,-0.0,0.32,15168914
2020-02-16 03:45:00,38757745,0.5,-0.09,0.59,22867070
2020-05-17 11:15:00,48104758,-0.37,-0.08,-0.29,-13950380
2020-08-16 18:45:00,0,0.0,-0.01,0.0,0
2020-11-16 02:15:00,109543490,0.51,-0.05,0.56,61344354
2021-02-15 09:45:00,37495711,0.5,0.1,0.4,14998284
2021-05-17 17:15:00,23889046,0.45,-0.06,0.51,12183413
2021-08-17 00:45:00,48695332,0.41,-0.02,0.43,20938993
2021-11-16 08:15:00,205377174,0.48,0.07,0.41,84204641
2022-02-15 15:45:00,150613338,0.48,-0.02,0.5,75306669
2022-05-17 23:15:00,259645009,-1.08,0.06,-1.14,-295995310
2022-08-17 06:45:00,40781431,-0.63,0.05,-0.68,-27731373
2022-11-16 14:15:00,0,0.0,0.11,0.0,0
2023-02-15 21:45:00,5848278,-0.12,-0.2,0.08,467862
2023-05-18 05:15:00,60595875,0.43,0.05,0.38,23026432
2023-08-17 12:45:00,148638276,0.43,0.14,0.29,43105100
2023-11-16 20:15:00,48298742,0.42,-0.01,0.43,20768459
2024-02-16 03:45:00,10006308,0.42,-0.02,0.44,4402776
2024-05-17 11:15:00,2942045,0.44,-0.13,0.57,1676966
2024-08-16 18:45:00,20152179,0.36,0.11,0.25,5038045
2024-11-16 02:15:00,0,0.0,-0.04,0.0,0
