midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2010-08-17 06:45:00,0,0.0,-0.1,0.0,0
2010-11-16 11:15:00,0,0.0,-0.08,0.0,0
2011-02-15 15:45:00,0,0.0,-0.04,0.0,0
2011-05-17 23:15:00,0,0.0,-0.05,0.0,0
2011-08-17 06:45:00,0,0.0,-0.02,0.0,0
2011-11-16 11:15:00,0,0.0,-0.01,0.0,0
2012-02-15 15:45:00,0,0.0,-0.0,0.0,0
2012-05-16 23:15:00,0,0.0,0.04,0.0,0
2012-08-16 06:45:00,0,0.0,0.04,0.0,0
2012-11-15 23:15:00,0,0.0,0.04,0.0,0
2013-02-15 15:45:00,0,0.0,0.02,0.0,0
2013-05-17 23:15:00,0,0.0,-0.02,0.0,0
2013-08-17 06:45:00,20652538,0.84,-0.02,0.86,17761183
2013-11-16 11:15:00,0,0.0,-0.01,0.0,0
2014-02-15 15:45:00,0,0.0,-0.02,0.0,0
2014-05-17 23:15:00,0,0.0,0.01,0.0,0
2014-08-17 06:45:00,0,0.0,0.01,0.0,0
2014-11-16 11:15:00,0,0.0,0.03,0.0,0
2015-02-15 15:45:00,0,0.0,0.03,0.0,0
2015-05-17 23:15:00,28581130,-0.28,-0.0,-0.28,-8002716
2015-08-17 06:45:00,19499276,-0.2,0.02,-0.22,-4289841
2015-11-16 11:15:00,0,0.0,0.03,0.0,0
2016-02-15 15:45:00,0,0.0,0.04,0.0,0
2016-05-16 23:15:00,0,0.0,0.03,0.0,0
2016-08-16 06:45:00,69045298,0.38,0.02,0.36,24856307
2016-11-15 23:15:00,0,0.0,-0.02,0.0,0
2017-02-15 15:45:00,0,0.0,-0.02,0.0,0
2017-05-17 23:15:00,66658719,-0.29,0.01,-0.3,-19997616
2017-08-17 06:45:00,36174557,-0.23,0.01,-0.24,-8681894
2017-11-16 11:15:00,0,0.0,-0.01,0.0,0
2018-02-15 15:45:00,0,0.0,-0.04,0.0,0
2018-05-17 23:15:00,0,0.0,-0.01,0.0,0
2018-08-17 06:45:00,0,0.0,-0.02,0.0,0
2018-11-16 11:15:00,0,0.0,-0.01,0.0,0
2019-02-15 21:45:00,0,0.0,-0.0,0.0,0
2019-05-18 05:15:00,0,0.0,0.02,0.0,0
2019-08-17 12:45:00,0,0.0,0.18,0.0,0
2019-11-16 20:15:00,2869963,-0.06,-0.06,0.0,0
2020-02-16 03:45:00,1572804,-0.21,-0.0,-0.21,-330289
2020-05-17 11:15:00,0,0.0,0.05,0.0,0
2020-08-16 18:45:00,28465974,2.19,0.03,2.16,61486504
2020-11-16 02:15:00,121011423,0.25,-0.02,0.27,32673084
2021-02-15 09:45:00,64495164,-0.79,-0.1,-0.69,-44501663
2021-05-17 17:15:00,123298154,-0.31,0.15,-0.46,-56717151
2021-08-17 00:45:00,55591230,-0.5,-0.03,-0.47,-26127878
2021-11-16 08:15:00,52313234,-0.25,-0.15,-0.1,-5231323
2022-02-15 15:45:00,33727817,-0.02,0.07,-0.09,-3035504
2022-05-17 23:15:00,0,0.0,0.01,0.0,0
2022-08-17 06:45:00,0,0.0,-0.04,0.0,0
2022-11-16 14:15:00,592022,-0.25,-0.05,-0.2,-118404
2023-02-15 21:45:00,498932,-0.23,-0.04,-0.19,-94797
2023-05-18 05:15:00,0,0.0,0.0,0.0,0
2023-08-17 12:45:00,0,0.0,0.08,0.0,0
2023-11-16 20:15:00,0,0.0,-0.08,0.0,0
2024-02-16 03:45:00,0,0.0,0.03,0.0,0
2024-05-17 11:15:00,23053707,1.85,0.16,1.69,38960765
2024-08-16 18:45:00,148433825,0.27,-0.04,0.31,46014486
