midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2010-08-17 06:45:00,0,0.0,0.01,0.0,0
2010-11-16 11:15:00,0,0.0,0.01,0.0,0
2011-02-15 15:45:00,0,0.0,0.02,0.0,0
2011-05-17 23:15:00,0,0.0,0.0,0.0,0
2011-08-17 06:45:00,0,0.0,-0.03,0.0,0
2011-11-16 11:15:00,0,0.0,0.02,0.0,0
2012-02-15 15:45:00,0,0.0,0.08,0.0,0
2012-05-16 23:15:00,0,0.0,0.1,0.0,0
2012-08-16 06:45:00,0,0.0,0.07,0.0,0
2012-11-15 23:15:00,0,0.0,0.04,0.0,0
2013-02-15 15:45:00,0,0.0,0.02,0.0,0
2013-05-17 23:15:00,0,0.0,-0.0,0.0,0
2013-08-17 06:45:00,0,0.0,-0.01,0.0,0
2013-11-16 11:15:00,0,0.0,0.03,0.0,0
2014-02-15 15:45:00,0,0.0,0.06,0.0,0
2014-05-17 23:15:00,24855772,0.37,-0.02,0.39,9693751
2014-08-17 06:45:00,53775184,-0.77,-0.15,-0.62,-33340614
2014-11-16 11:15:00,0,0.0,-0.12,0.0,0
2015-02-15 15:45:00,0,0.0,-0.05,0.0,0
2015-05-17 23:15:00,20308799,-0.26,0.0,-0.26,-5280288
2015-08-17 06:45:00,0,0.0,0.03,0.0,0
2015-11-16 11:15:00,0,0.0,0.03,0.0,0
2016-02-15 15:45:00,0,0.0,0.0,0.0,0
2016-05-16 23:15:00,7595593,0.77,0.01,0.76,5772651
2016-08-16 06:45:00,38256217,0.65,0.03,0.62,23718855
2016-11-15 23:15:00,0,0.0,0.02,0.0,0
2017-02-15 15:45:00,0,0.0,0.01,0.0,0
2017-05-17 23:15:00,0,0.0,-0.0,0.0,0
2017-08-17 06:45:00,0,0.0,-0.01,0.0,0
2017-11-16 11:15:00,0,0.0,0.0,0.0,0
2018-02-15 15:45:00,0,0.0,0.02,0.0,0
2018-05-17 23:15:00,24758828,0.32,0.03,0.29,7180060
2018-08-17 06:45:00,0,0.0,0.01,0.0,0
2018-11-16 11:15:00,0,0.0,0.02,0.0,0
2019-02-15 21:45:00,0,0.0,0.11,0.0,0
2019-05-18 05:15:00,21733266,-0.38,-0.06,-0.32,-6954645
2019-08-17 12:45:00,21622858,-0.02,0.11,-0.13,-2810972
2019-11-16 20:15:00,0,0.0,-0.08,0.0,0
2020-02-16 03:45:00,6773509,0.37,0.13,0.24,1625642
2020-05-17 11:15:00,5663332,0.38,0.12,0.26,1472466
2020-08-16 18:45:00,44925718,-0.3,-0.02,-0.28,-12579201
2020-11-16 02:15:00,28565435,-0.22,-0.04,-0.18,-5141778
2021-02-15 09:45:00,703206,-0.12,-0.0,-0.12,-84385
2021-05-17 17:15:00,0,0.0,0.02,0.0,0
2021-08-17 00:45:00,8363118,0.09,0.01,0.08,669049
2021-11-16 08:15:00,4402543,-0.53,-0.1,-0.43,-1893093
2022-02-15 15:45:00,31369518,0.94,0.05,0.89,27918871
2022-05-17 23:15:00,62054700,-0.03,0.02,-0.05,-3102735
2022-08-17 06:45:00,17108303,-0.33,-0.05,-0.28,-4790325
2022-11-16 14:15:00,20267440,-0.32,-0.04,-0.28,-5674883
2023-02-15 21:45:00,14087266,-0.08,-0.04,-0.04,-563491
2023-05-18 05:15:00,15245366,0.84,0.11,0.73,11129117
2023-08-17 12:45:00,111014749,0.29,0.15,0.14,15542065
2023-11-16 20:15:00,13926640,-0.71,-0.19,-0.52,-7241853
2024-02-16 03:45:00,113517431,-0.02,0.11,-0.13,-14757266
2024-05-17 11:15:00,0,0.0,0.04,0.0,0
2024-08-16 18:45:00,20307863,-0.22,-0.11,-0.11,-2233865
