mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2010-10-01 18:00:00,,,-0.06,,
2011-01-01 00:00:00,,,-0.06,,
2011-04-02 06:00:00,,,-0.08,,
2011-07-02 12:00:00,,,-0.08,,
2011-10-01 18:00:00,,,-0.07,,
2012-01-01 00:00:00,42316519.0,-0.46,-0.06,-0.4,-16926608.0
2012-04-01 12:00:00,,,-0.06,,
2012-07-02 00:00:00,,,-0.06,,
2012-10-01 12:00:00,,,-0.04,,
2013-01-01 00:00:00,,,-0.02,,
2013-04-02 06:00:00,,,-0.03,,
2013-07-02 12:00:00,,,-0.05,,
2013-10-01 18:00:00,,,-0.05,,
2014-01-01 00:00:00,,,-0.07,,
2014-04-02 06:00:00,,,-0.1,,
2014-07-02 12:00:00,,,-0.09,,
2014-10-01 18:00:00,,,-0.06,,
2015-01-01 00:00:00,,,-0.04,,
2015-04-02 06:00:00,,,-0.03,,
2015-07-02 12:00:00,,,-0.01,,
2015-10-01 18:00:00,,,0.02,,
2016-01-01 00:00:00,,,0.02,,
2016-04-01 12:00:00,,,0.05,,
2016-07-02 00:00:00,,,0.05,,
2016-10-01 12:00:00,,,0.08,,
2017-01-01 00:00:00,1413824.0,0.39,0.1,0.29,410009.0
2017-04-02 06:00:00,,,0.07,,
2017-07-02 12:00:00,,,0.05,,
2017-10-01 18:00:00,,,0.07,,
2018-01-01 00:00:00,,,0.08,,
2018-04-02 06:00:00,,,0.06,,
2018-07-02 12:00:00,,,0.07,,
2018-10-01 18:00:00,,,0.08,,
2019-01-01 00:00:00,,,0.06,,
2019-04-02 13:30:00,88256920.0,0.39,0.28,0.11,9708261.0
2019-07-02 21:00:00,,,-0.04,,
2019-10-02 04:30:00,,,-0.11,,
2020-01-01 12:00:00,,,0.06,,
2020-04-01 19:30:00,,,-0.07,,
2020-07-02 03:00:00,5658850.0,0.41,0.02,0.39,2206952.0
2020-10-01 10:30:00,,,-0.14,,
2020-12-31 18:00:00,,,0.08,,
2021-04-02 01:30:00,310430.0,0.39,0.07,0.32,99338.0
2021-07-02 09:00:00,28488421.0,-0.44,-0.21,-0.23,-6552336.0
2021-10-01 16:30:00,90644675.0,0.47,0.28,0.19,17222488.0
2022-01-01 00:00:00,1682199.0,-0.41,-0.19,-0.22,-370084.0
2022-04-02 07:30:00,,,-0.09,,
2022-07-02 15:00:00,13508109.0,0.49,-0.06,0.55,7429460.0
2022-10-01 22:30:00,88755.0,0.39,0.01,0.38,33727.0
2023-01-01 06:00:00,,,0.59,,
2023-04-02 13:30:00,,,0.06,,
2023-07-02 21:00:00,,,-0.07,,
2023-10-02 04:30:00,,,0.16,,
2024-01-01 12:00:00,,,-0.05,,
2024-04-01 19:30:00,,,-0.02,,
2024-07-02 03:00:00,,,-0.15,,
2024-10-01 10:30:00,,,0.25,,
2024-12-31 18:00:00,,,-0.07,,
