mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-04-02 13:30:00,61663980,-0.49,-0.04,-0.45,-27748791
2019-07-02 21:00:00,86873860,-0.43,-0.04,-0.39,-33880805
2019-10-02 04:30:00,314713852,0.8,0.15,0.65,204564004
2020-01-01 12:00:00,108113659,0.41,0.0,0.41,44326600
2020-04-01 19:30:00,0,0.0,0.06,0.0,0
2020-07-02 03:00:00,43235654,-0.4,-0.01,-0.39,-16861905
2020-10-01 10:30:00,39655481,-0.38,0.0,-0.38,-15069083
2020-12-31 18:00:00,50187301,-0.4,-0.05,-0.35,-17565555
2021-04-02 01:30:00,0,0.0,-0.05,0.0,0
2021-07-02 09:00:00,0,0.0,-0.02,0.0,0
2021-10-01 16:30:00,42305014,-0.38,-0.04,-0.34,-14383705
2022-01-01 00:00:00,191911072,-0.42,-0.13,-0.29,-55654211
2022-04-02 07:30:00,46243206,0.45,-0.03,0.48,22196739
2022-07-02 15:00:00,294557506,0.68,0.13,0.55,162006628
2022-10-01 22:30:00,0,0.0,0.04,0.0,0
2023-01-01 06:00:00,64546791,-0.43,-0.09,-0.34,-21945909
2023-04-02 13:30:00,17862793,-0.38,-0.03,-0.35,-6251978
2023-07-02 21:00:00,0,0.0,-0.01,0.0,0
2023-10-02 04:30:00,893121,-0.35,0.05,-0.4,-357248
2024-01-01 12:00:00,0,0.0,-0.1,0.0,0
2024-04-01 19:30:00,0,0.0,-0.0,0.0,0
2024-07-02 03:00:00,0,0.0,-0.03,0.0,0
2024-10-01 10:30:00,14360671,0.39,-0.01,0.4,5744268
