mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2010-10-01 22:30:00,0,0.0,-0.03,0.0,0
2011-01-01 00:00:00,0,0.0,-0.03,0.0,0
2011-04-02 07:30:00,0,0.0,-0.04,0.0,0
2011-07-02 15:00:00,0,0.0,-0.08,0.0,0
2011-10-01 22:30:00,0,0.0,-0.15,0.0,0
2012-01-01 00:00:00,0,0.0,-0.19,0.0,0
2012-04-01 07:30:00,0,0.0,-0.21,0.0,0
2012-07-01 15:00:00,0,0.0,-0.2,0.0,0
2012-09-30 22:30:00,0,0.0,-0.16,0.0,0
2013-01-01 00:00:00,0,0.0,-0.11,0.0,0
2013-04-02 07:30:00,0,0.0,-0.08,0.0,0
2013-07-02 15:00:00,0,0.0,-0.05,0.0,0
2013-10-01 22:30:00,0,0.0,-0.05,0.0,0
2014-01-01 00:00:00,0,0.0,-0.05,0.0,0
2014-04-02 07:30:00,0,0.0,-0.07,0.0,0
2014-07-02 15:00:00,0,0.0,-0.09,0.0,0
2014-10-01 22:30:00,0,0.0,-0.09,0.0,0
2015-01-01 00:00:00,0,0.0,-0.07,0.0,0
2015-04-02 07:30:00,0,0.0,-0.06,0.0,0
2015-07-02 15:00:00,0,0.0,-0.08,0.0,0
2015-10-01 22:30:00,0,0.0,-0.11,0.0,0
2016-01-01 00:00:00,0,0.0,-0.12,0.0,0
2016-04-01 07:30:00,0,0.0,-0.1,0.0,0
2016-07-01 15:00:00,0,0.0,-0.07,0.0,0
2016-09-30 22:30:00,0,0.0,-0.05,0.0,0
2017-01-01 00:00:00,0,0.0,-0.05,0.0,0
2017-04-02 07:30:00,0,0.0,-0.07,0.0,0
2017-07-02 15:00:00,0,0.0,-0.1,0.0,0
2017-10-01 22:30:00,0,0.0,-0.13,0.0,0
2018-01-01 00:00:00,0,0.0,-0.13,0.0,0
2018-04-02 07:30:00,0,0.0,-0.13,0.0,0
2018-07-02 15:00:00,0,0.0,-0.12,0.0,0
2018-10-01 22:30:00,0,0.0,-0.13,0.0,0
2019-01-01 00:00:00,0,0.0,-0.14,0.0,0
2019-04-02 13:30:00,0,0.0,-0.29,0.0,0
2019-07-02 21:00:00,0,0.0,-0.18,0.0,0
2019-10-02 04:30:00,3674908,-0.93,-0.13,-0.8,-2939926
2020-01-01 12:00:00,113158887,-1.37,-0.61,-0.76,-86000754
2020-04-01 19:30:00,57937316,-1.28,-0.12,-1.16,-67207287
2020-07-02 03:00:00,14349798,0.98,0.34,0.64,9183871
2020-10-01 10:30:00,0,0.0,-0.07,0.0,0
2020-12-31 18:00:00,0,0.0,-0.28,0.0,0
2021-04-02 01:30:00,0,0.0,-0.43,0.0,0
2021-07-02 09:00:00,0,0.0,-0.13,0.0,0
2021-10-01 16:30:00,1982566,0.94,0.44,0.5,991283
2022-01-01 00:00:00,0,0.0,0.11,0.0,0
2022-04-02 07:30:00,0,0.0,-0.01,0.0,0
2022-07-02 15:00:00,0,0.0,0.06,0.0,0
2022-10-01 22:30:00,0,0.0,0.31,0.0,0
2023-01-01 06:00:00,0,0.0,-0.25,0.0,0
2023-04-02 13:30:00,0,0.0,-0.23,0.0,0
2023-07-02 21:00:00,0,0.0,-0.18,0.0,0
2023-10-02 04:30:00,0,0.0,-0.24,0.0,0
2024-01-01 12:00:00,0,0.0,-0.3,0.0,0
2024-04-01 19:30:00,76128236,-1.28,-0.48,-0.8,-60902589
2024-07-02 03:00:00,85996264,-1.24,-0.46,-0.78,-67077086
2024-10-01 10:30:00,0,0.0,0.19,0.0,0
