midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-05-18 05:15:00,0,0.0,0.06,0.0,0
2019-08-17 12:45:00,147031984,-0.2,0.0,-0.2,-29406397
2019-11-16 20:15:00,239492933,-2.31,-0.09,-2.22,-531674311
2020-02-16 03:45:00,191009969,-1.47,-0.12,-1.35,-257863458
2020-05-17 11:15:00,20459265,0.84,0.03,0.81,16572005
2020-08-16 18:45:00,18965990,0.95,-0.04,0.99,18776330
2020-11-16 02:15:00,15673128,0.8,-0.0,0.8,12538502
2021-02-15 09:45:00,5437248,0.72,-0.05,0.77,4186681
2021-05-17 17:15:00,6681181,0.65,0.04,0.61,4075520
2021-08-17 00:45:00,5078446,0.65,0.01,0.64,3250205
2021-11-16 08:15:00,1527361,0.62,-0.04,0.66,1008058
2022-02-15 15:45:00,0,0.0,-0.11,0.0,0
2022-05-17 23:15:00,0,0.0,-0.02,0.0,0
2022-08-17 06:45:00,0,0.0,-0.02,0.0,0
2022-11-16 14:15:00,0,0.0,0.01,0.0,0
2023-02-15 21:45:00,6034398,0.71,-0.13,0.84,5068894
2023-05-18 05:15:00,45134140,0.69,-0.03,0.72,32496581
2023-08-17 12:45:00,0,0.0,0.07,0.0,0
2023-11-16 20:15:00,401582,0.61,0.06,0.55,220870
2024-02-16 03:45:00,0,0.0,-0.02,0.0,0
2024-05-17 11:15:00,0,0.0,0.01,0.0,0
2024-08-16 18:45:00,5876257,0.61,0.04,0.57,3349466
2024-11-16 02:15:00,0,0.0,-0.08,0.0,0
