mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2010-10-01 18:00:00,,,0.03,,
2011-01-01 00:00:00,256976475.0,0.5,0.02,0.48,123348704.0
2011-04-02 06:00:00,,,0.03,,
2011-07-02 12:00:00,,,0.07,,
2011-10-01 18:00:00,,,0.12,,
2012-01-01 00:00:00,6131509.0,0.31,0.14,0.17,1042357.0
2012-04-01 12:00:00,,,0.12,,
2012-07-02 00:00:00,,,0.11,,
2012-10-01 12:00:00,,,0.1,,
2013-01-01 00:00:00,178491599.0,-0.46,0.1,-0.56,-99955296.0
2013-04-02 06:00:00,,,0.1,,
2013-07-02 12:00:00,,,0.1,,
2013-10-01 18:00:00,,,0.08,,
2014-01-01 00:00:00,124817643.0,0.42,0.06,0.36,44934352.0
2014-04-02 06:00:00,,,0.06,,
2014-07-02 12:00:00,,,0.08,,
2014-10-01 18:00:00,,,0.09,,
2015-01-01 00:00:00,223492993.0,0.45,0.07,0.38,84927336.0
2015-04-02 06:00:00,,,0.1,,
2015-07-02 12:00:00,,,0.11,,
2015-10-01 18:00:00,,,0.14,,
2016-01-01 00:00:00,31515672.0,0.34,0.12,0.22,6933448.0
2016-04-01 12:00:00,,,0.1,,
2016-07-02 00:00:00,,,0.1,,
2016-10-01 12:00:00,,,0.09,,
2017-01-01 00:00:00,,,0.1,,
2017-04-02 06:00:00,,,0.12,,
2017-07-02 12:00:00,,,0.12,,
2017-10-01 18:00:00,,,0.08,,
2018-01-01 00:00:00,325593569.0,0.79,0.06,0.73,237683312.0
2018-04-02 06:00:00,,,0.07,,
2018-07-02 12:00:00,,,0.1,,
2018-10-01 18:00:00,,,0.11,,
2019-01-01 00:00:00,12539924.0,0.33,0.1,0.23,2884182.0
2019-04-02 13:30:00,,,0.16,,
2019-07-02 21:00:00,,,0.09,,
2019-10-02 04:30:00,11569700.0,0.3,0.22,0.08,925576.0
2020-01-01 12:00:00,13842675.0,0.31,0.07,0.24,3322242.0
2020-04-01 19:30:00,274891100.0,0.43,0.16,0.27,74220600.0
2020-07-02 03:00:00,72662311.0,-0.35,0.13,-0.48,-34877908.0
2020-10-01 10:30:00,,,0.11,,
2020-12-31 18:00:00,154505276.0,0.41,0.05,0.36,55621904.0
2021-04-02 01:30:00,4598983.0,-0.3,0.03,-0.33,-1517664.0
2021-07-02 09:00:00,15535449.0,0.31,0.23,0.08,1242836.0
2021-10-01 16:30:00,,,0.08,,
2022-01-01 00:00:00,243033596.0,-0.53,-0.04,-0.49,-119086464.0
2022-04-02 07:30:00,192780694.0,-0.4,0.11,-0.51,-98318152.0
2022-07-02 15:00:00,76710887.0,0.38,0.1,0.28,21479048.0
2022-10-01 22:30:00,133312159.0,-0.39,0.05,-0.44,-58657352.0
2023-01-01 06:00:00,214240432.0,-0.48,0.01,-0.49,-104977816.0
2023-04-02 13:30:00,218883832.0,-0.39,0.05,-0.44,-96308888.0
2023-07-02 21:00:00,224030460.0,0.78,0.1,0.68,152340720.0
2023-10-02 04:30:00,221958770.0,0.39,0.19,0.2,44391756.0
2024-01-01 12:00:00,,,0.03,,
2024-04-01 19:30:00,4823343.0,-0.32,0.15,-0.47,-2266971.0
2024-07-02 03:00:00,99581023.0,-0.39,0.17,-0.56,-55765372.0
2024-10-01 10:30:00,202924266.0,-0.46,0.08,-0.54,-109579112.0
2024-12-31 18:00:00,,,0.04,,
