mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2010-10-01 18:00:00,,,-0.05,,
2011-01-01 00:00:00,115189466.0,0.03,-0.06,0.09,10367052.0
2011-04-02 06:00:00,,,-0.05,,
2011-07-02 12:00:00,,,-0.04,,
2011-10-01 18:00:00,,,-0.04,,
2012-01-01 00:00:00,41147776.0,0.43,-0.06,0.49,20162410.0
2012-04-01 12:00:00,,,-0.05,,
2012-07-02 00:00:00,,,-0.03,,
2012-10-01 12:00:00,,,-0.02,,
2013-01-01 00:00:00,52232017.0,0.49,-0.02,0.51,26638328.0
2013-04-02 06:00:00,,,-0.01,,
2013-07-02 12:00:00,,,-0.02,,
2013-10-01 18:00:00,,,-0.04,,
2014-01-01 00:00:00,27654411.0,0.35,-0.08,0.43,11891397.0
2014-04-02 06:00:00,,,-0.07,,
2014-07-02 12:00:00,,,-0.06,,
2014-10-01 18:00:00,,,-0.07,,
2015-01-01 00:00:00,29593758.0,0.35,-0.09,0.44,13021253.0
2015-04-02 06:00:00,,,-0.06,,
2015-07-02 12:00:00,,,-0.03,,
2015-10-01 18:00:00,,,-0.03,,
2016-01-01 00:00:00,23718058.0,0.3,-0.04,0.34,8064140.0
2016-04-01 12:00:00,,,-0.01,,
2016-07-02 00:00:00,,,-0.0,,
2016-10-01 12:00:00,,,-0.0,,
2017-01-01 00:00:00,31611671.0,0.31,0.0,0.31,9799618.0
2017-04-02 06:00:00,,,0.01,,
2017-07-02 12:00:00,,,0.03,,
2017-10-01 18:00:00,,,0.05,,
2018-01-01 00:00:00,40452939.0,0.33,0.04,0.29,11731352.0
2018-04-02 06:00:00,,,0.02,,
2018-07-02 12:00:00,,,0.01,,
2018-10-01 18:00:00,,,-0.0,,
2019-01-01 00:00:00,22333585.0,0.27,-0.0,0.27,6030068.0
2019-04-02 13:30:00,22333585.0,0.15,0.1,0.05,1116679.0
2019-07-02 21:00:00,170442.0,0.23,-0.04,0.27,46019.0
2019-10-02 04:30:00,43593653.0,0.33,-0.0,0.33,14385906.0
2020-01-01 12:00:00,43593653.0,0.08,-0.07,0.15,6539048.0
2020-04-01 19:30:00,48202956.0,0.32,0.08,0.24,11568709.0
2020-07-02 03:00:00,13220180.0,0.26,-0.06,0.32,4230458.0
2020-10-01 10:30:00,38124929.0,0.3,-0.02,0.32,12199977.0
2020-12-31 18:00:00,10365331.0,0.26,-0.01,0.27,2798640.0
2021-04-02 01:30:00,15328638.0,0.28,-0.01,0.29,4445305.0
2021-07-02 09:00:00,22565690.0,0.26,-0.03,0.29,6544050.0
2021-10-01 16:30:00,33916372.0,0.3,0.03,0.27,9157421.0
2022-01-01 00:00:00,20792571.0,0.28,-0.04,0.32,6653623.0
2022-04-02 07:30:00,20792571.0,0.11,-0.03,0.14,2910960.0
2022-07-02 15:00:00,36670895.0,0.31,-0.01,0.32,11734686.0
2022-10-01 22:30:00,15473203.0,0.26,-0.07,0.33,5106157.0
2023-01-01 06:00:00,994485.0,0.23,0.24,-0.01,-9945.0
2023-04-02 13:30:00,10392740.0,0.24,0.0,0.24,2494258.0
2023-07-02 21:00:00,32080266.0,0.29,0.02,0.27,8661672.0
2023-10-02 04:30:00,36614242.0,0.29,0.04,0.25,9153560.0
2024-01-01 12:00:00,36614242.0,0.11,-0.07,0.18,6590564.0
2024-04-01 19:30:00,4300886.0,0.21,0.02,0.19,817168.0
2024-07-02 03:00:00,3405351.0,0.27,-0.08,0.35,1191873.0
2024-10-01 10:30:00,51417785.0,0.23,0.05,0.18,9255201.0
2024-12-31 18:00:00,51417785.0,0.18,0.0,0.18,9255201.0
