midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2010-08-17 06:45:00,0,0.0,-0.02,0.0,0
2010-11-16 11:15:00,0,0.0,-0.04,0.0,0
2011-02-15 15:45:00,0,0.0,-0.03,0.0,0
2011-05-17 23:15:00,0,0.0,-0.0,0.0,0
2011-08-17 06:45:00,0,0.0,0.03,0.0,0
2011-11-16 11:15:00,9935613,0.27,0.07,0.2,1987123
2012-02-15 15:45:00,1673001,0.25,0.08,0.17,284410
2012-05-16 23:15:00,2202139,0.25,0.07,0.18,396385
2012-08-16 06:45:00,2202139,0.19,0.07,0.12,264257
2012-11-15 23:15:00,2069916,0.25,0.07,0.18,372585
2013-02-15 15:45:00,1491260,0.26,0.06,0.2,298252
2013-05-17 23:15:00,18501492,0.32,0.05,0.27,4995403
2013-08-17 06:45:00,41274582,0.45,0.03,0.42,17335324
2013-11-16 11:15:00,208017238,0.33,0.01,0.32,66565516
2014-02-15 15:45:00,234435581,0.47,0.0,0.47,110184723
2014-05-17 23:15:00,272616150,0.44,0.03,0.41,111772622
2014-08-17 06:45:00,288927991,0.37,0.05,0.32,92456957
2014-11-16 11:15:00,258848918,0.25,0.05,0.2,51769784
2015-02-15 15:45:00,16842932,0.03,0.05,-0.02,-336859
2015-05-17 23:15:00,7020849,-0.13,0.06,-0.19,-1333961
2015-08-17 06:45:00,7020849,0.03,0.09,-0.06,-421251
2015-11-16 11:15:00,261581,0.25,0.09,0.16,41853
2016-02-15 15:45:00,7567841,0.29,0.08,0.21,1589247
2016-05-16 23:15:00,28969590,0.37,0.07,0.3,8690877
2016-08-16 06:45:00,27769812,0.36,0.06,0.3,8330944
2016-11-15 23:15:00,51902801,0.25,0.05,0.2,10380560
2017-02-15 15:45:00,3411479,0.25,0.06,0.19,648181
2017-05-17 23:15:00,3411479,0.15,0.05,0.1,341148
2017-08-17 06:45:00,3411479,0.04,0.04,0.0,0
2017-11-16 11:15:00,3411479,0.06,0.03,0.03,102344
2018-02-15 15:45:00,3411479,0.03,0.03,0.0,0
2018-05-17 23:15:00,2137988,0.26,0.05,0.21,448977
2018-08-17 06:45:00,1160671,0.26,0.05,0.21,243741
2018-11-16 11:15:00,1160671,0.19,0.04,0.15,174101
2019-02-15 21:45:00,1160671,0.09,0.09,0.0,0
2019-05-18 05:15:00,1160671,0.16,0.05,0.11,127674
2019-08-17 12:45:00,360221537,0.27,0.2,0.07,25215508
2019-11-16 20:15:00,1047109,0.04,-0.01,0.05,52355
2020-02-16 03:45:00,11253924,0.34,0.05,0.29,3263638
2020-05-17 11:15:00,37795697,0.56,0.11,0.45,17008064
2020-08-16 18:45:00,45100483,0.75,0.01,0.74,33374357
2020-11-16 02:15:00,219753340,0.23,0.04,0.19,41753135
2021-02-15 09:45:00,150949791,0.06,-0.0,0.06,9056987
2021-05-17 17:15:00,12452123,-0.0,0.13,-0.13,-1618776
2021-08-17 00:45:00,1292838,-0.29,0.08,-0.37,-478350
2021-11-16 08:15:00,232422183,-0.36,-0.12,-0.24,-55781324
2022-02-15 15:45:00,196349604,-0.34,0.08,-0.42,-82466834
2022-05-17 23:15:00,230572825,-0.56,0.07,-0.63,-145260880
2022-08-17 06:45:00,259932290,-0.9,0.01,-0.91,-236538384
2022-11-16 14:15:00,263016250,-1.23,0.01,-1.24,-326140150
2023-02-15 21:45:00,276946287,-1.65,-0.02,-1.63,-451422448
2023-05-18 05:15:00,259902944,-1.82,0.04,-1.86,-483419476
2023-08-17 12:45:00,237332386,-1.79,0.09,-1.88,-446184886
2023-11-16 20:15:00,223061076,-1.58,-0.01,-1.57,-350205889
2024-02-16 03:45:00,230805060,-1.19,0.01,-1.2,-276966072
2024-05-17 11:15:00,240444289,-0.5,0.13,-0.63,-151479902
2024-08-16 18:45:00,155801032,-0.43,-0.0,-0.43,-66994444
