mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-04-02 13:30:00,21560077.0,-0.39,-0.15,-0.24,-5174418.0
2019-07-02 21:00:00,24073804.0,-0.34,-0.1,-0.24,-5777713.0
2019-10-02 04:30:00,2050283.0,-0.18,0.02,-0.2,-410057.0
2020-01-01 12:00:00,2050283.0,-0.03,-0.01,-0.02,-41006.0
2020-04-01 19:30:00,2050283.0,0.03,-0.02,0.05,102514.0
2020-07-02 03:00:00,2050283.0,0.04,-0.0,0.04,82011.0
2020-10-01 10:30:00,6914592.0,0.23,0.07,0.16,1106335.0
2020-12-31 18:00:00,1482788.0,0.22,0.02,0.2,296558.0
2021-04-02 01:30:00,1482788.0,0.08,-0.09,0.17,252074.0
2021-07-02 09:00:00,605823.0,0.22,0.03,0.19,115106.0
2021-10-01 16:30:00,605823.0,0.17,0.03,0.14,84815.0
2022-01-01 00:00:00,605823.0,0.15,-0.03,0.18,109048.0
2022-04-02 07:30:00,605823.0,0.05,-0.04,0.09,54524.0
2022-07-02 15:00:00,605823.0,0.1,0.01,0.09,54524.0
2022-10-01 22:30:00,605823.0,0.07,0.01,0.06,36349.0
2023-01-01 06:00:00,605823.0,0.02,-0.07,0.09,54524.0
2023-04-02 13:30:00,605823.0,-0.03,-0.05,0.02,12116.0
2023-07-02 21:00:00,605823.0,0.07,0.03,0.04,24233.0
2023-10-02 04:30:00,605823.0,0.1,0.05,0.05,30291.0
2024-01-01 12:00:00,605823.0,0.03,-0.03,0.06,36349.0
2024-04-01 19:30:00,605823.0,0.01,-0.0,0.01,6058.0
2024-07-02 03:00:00,605823.0,0.04,-0.02,0.06,36349.0
2024-10-01 10:30:00,605823.0,0.17,0.04,0.13,78757.0
2024-12-31 18:00:00,605823.0,0.11,0.03,0.08,48466.0
