mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-04-02 13:30:00,0,0.0,-0.0,0.0,0
2019-07-02 21:00:00,0,0.0,0.01,0.0,0
2019-10-02 04:30:00,0,0.0,0.16,0.0,0
2020-01-01 12:00:00,0,0.0,-0.14,0.0,0
2020-04-01 19:30:00,0,0.0,-0.09,0.0,0
2020-07-02 03:00:00,0,0.0,0.15,0.0,0
2020-10-01 10:30:00,0,0.0,0.05,0.0,0
2020-12-31 18:00:00,0,0.0,-0.09,0.0,0
2021-04-02 01:30:00,0,0.0,-0.14,0.0,0
2021-07-02 09:00:00,0,0.0,0.1,0.0,0
2021-10-01 16:30:00,0,0.0,0.13,0.0,0
2022-01-01 00:00:00,2023381,-0.32,-0.17,-0.15,-303507
2022-04-02 07:30:00,2023381,-0.09,-0.11,0.02,40468
2022-07-02 15:00:00,17703854,0.41,0.24,0.17,3009655
2022-10-01 22:30:00,4528166,0.33,0.18,0.15,679225
2023-01-01 06:00:00,12963833,-0.37,-0.23,-0.14,-1814937
2023-04-02 13:30:00,12963833,-0.1,-0.06,-0.04,-518553
2023-07-02 21:00:00,12963833,0.21,0.15,0.06,777830
2023-10-02 04:30:00,2118305,0.33,0.17,0.16,338929
2024-01-01 12:00:00,1264397,-0.35,-0.14,-0.21,-265523
2024-04-01 19:30:00,1264397,-0.21,-0.11,-0.1,-126440
2024-07-02 03:00:00,1264397,0.24,0.14,0.1,126440
2024-10-01 10:30:00,1264397,0.22,0.1,0.12,151728
2024-12-31 18:00:00,1264397,-0.09,-0.06,-0.03,-37932
