mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2010-10-01 18:00:00,,,0.02,,
2011-01-01 00:00:00,,,0.02,,
2011-04-02 06:00:00,,,0.0,,
2011-07-02 12:00:00,,,-0.01,,
2011-10-01 18:00:00,,,-0.01,,
2012-01-01 00:00:00,,,0.0,,
2012-04-01 12:00:00,,,0.0,,
2012-07-02 00:00:00,,,-0.0,,
2012-10-01 12:00:00,,,-0.01,,
2013-01-01 00:00:00,,,-0.0,,
2013-04-02 06:00:00,,,0.0,,
2013-07-02 12:00:00,,,-0.01,,
2013-10-01 18:00:00,,,-0.01,,
2014-01-01 00:00:00,,,-0.01,,
2014-04-02 06:00:00,,,-0.0,,
2014-07-02 12:00:00,,,0.0,,
2014-10-01 18:00:00,,,0.03,,
2015-01-01 00:00:00,,,0.05,,
2015-04-02 06:00:00,,,0.05,,
2015-07-02 12:00:00,,,0.04,,
2015-10-01 18:00:00,,,0.04,,
2016-01-01 00:00:00,72713890.0,0.86,0.03,0.83,60352524.0
2016-04-01 12:00:00,,,0.03,,
2016-07-02 00:00:00,,,0.03,,
2016-10-01 12:00:00,,,0.05,,
2017-01-01 00:00:00,117103153.0,0.83,0.07,0.76,88998392.0
2017-04-02 06:00:00,,,0.08,,
2017-07-02 12:00:00,,,0.06,,
2017-10-01 18:00:00,,,0.04,,
2018-01-01 00:00:00,45408775.0,-0.05,0.03,-0.08,-3632702.0
2018-04-02 06:00:00,,,0.01,,
2018-07-02 12:00:00,,,0.01,,
2018-10-01 18:00:00,,,0.02,,
2019-01-01 00:00:00,45408775.0,-0.36,0.02,-0.38,-17255334.0
2019-04-02 13:30:00,45408775.0,-0.28,-0.02,-0.26,-11806281.0
2019-07-02 21:00:00,45408775.0,-0.24,0.0,-0.24,-10898106.0
2019-10-02 04:30:00,45408775.0,-0.09,0.1,-0.19,-8627667.0
2020-01-01 12:00:00,45408775.0,-0.15,-0.08,-0.07,-3178614.0
2020-04-01 19:30:00,45408775.0,-0.24,0.01,-0.25,-11352194.0
2020-07-02 03:00:00,45408775.0,-0.18,-0.0,-0.18,-8173580.0
2020-10-01 10:30:00,45408775.0,-0.07,0.09,-0.16,-7265404.0
2020-12-31 18:00:00,45408775.0,-0.04,-0.04,0.0,0.0
2021-04-02 01:30:00,45408775.0,-0.15,0.0,-0.15,-6811316.0
2021-07-02 09:00:00,45408775.0,-0.03,0.08,-0.11,-4994966.0
2021-10-01 16:30:00,45408775.0,-0.08,0.04,-0.12,-5449053.0
2022-01-01 00:00:00,45408775.0,-0.18,-0.03,-0.15,-6811316.0
2022-04-02 07:30:00,19925082.0,0.77,-0.09,0.86,17135570.0
2022-07-02 15:00:00,253906944.0,1.54,0.18,1.36,345313440.0
2022-10-01 22:30:00,506755129.0,1.29,0.18,1.11,562498240.0
2023-01-01 06:00:00,116492254.0,-0.78,-0.02,-0.76,-88534112.0
2023-04-02 13:30:00,50655470.0,-0.7,0.04,-0.74,-37485048.0
2023-07-02 21:00:00,10710730.0,-0.73,0.07,-0.8,-8568584.0
2023-10-02 04:30:00,57375339.0,-0.82,0.07,-0.89,-51064052.0
2024-01-01 12:00:00,117350897.0,-0.87,-0.09,-0.78,-91533696.0
2024-04-01 19:30:00,102936699.0,-0.81,-0.0,-0.81,-83378728.0
2024-07-02 03:00:00,96842055.0,-0.85,-0.01,-0.84,-81347328.0
2024-10-01 10:30:00,33833230.0,-0.63,-0.05,-0.58,-19623274.0
2024-12-31 18:00:00,33833230.0,-0.6,0.01,-0.61,-20638272.0
