mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2010-10-01 18:00:00,,,0.03,,
2011-01-01 00:00:00,,,0.01,,
2011-04-02 06:00:00,,,0.01,,
2011-07-02 12:00:00,,,0.04,,
2011-10-01 18:00:00,,,0.1,,
2012-01-01 00:00:00,,,0.13,,
2012-04-01 12:00:00,,,0.17,,
2012-07-02 00:00:00,,,0.17,,
2012-10-01 12:00:00,,,0.2,,
2013-01-01 00:00:00,38497453.0,0.45,0.18,0.27,10394312.0
2013-04-02 06:00:00,38497453.0,-0.11,0.04,-0.15,-5774618.0
2013-07-02 12:00:00,38497453.0,-0.28,-0.0,-0.28,-10779287.0
2013-10-01 18:00:00,38497453.0,-0.09,0.05,-0.14,-5389644.0
2014-01-01 00:00:00,38497453.0,0.03,0.02,0.01,384974.0
2014-04-02 06:00:00,38497453.0,0.04,0.04,0.0,0.0
2014-07-02 12:00:00,38497453.0,0.06,0.07,-0.01,-384974.0
2014-10-01 18:00:00,38497453.0,0.08,0.07,0.01,384974.0
2015-01-01 00:00:00,38497453.0,0.12,0.1,0.02,769949.0
2015-04-02 06:00:00,38497453.0,0.15,0.14,0.01,384974.0
2015-07-02 12:00:00,38497453.0,0.11,0.13,-0.02,-769949.0
2015-10-01 18:00:00,38497453.0,0.12,0.11,0.01,384974.0
2016-01-01 00:00:00,38497453.0,0.11,0.09,0.02,769949.0
2016-04-01 12:00:00,38497453.0,0.16,0.13,0.03,1154924.0
2016-07-02 00:00:00,38497453.0,0.1,0.13,-0.03,-1154924.0
2016-10-01 12:00:00,38497453.0,0.12,0.12,0.0,0.0
2017-01-01 00:00:00,38497453.0,0.17,0.14,0.03,1154924.0
2017-04-02 06:00:00,38497453.0,0.16,0.14,0.02,769949.0
2017-07-02 12:00:00,38497453.0,0.11,0.11,0.0,0.0
2017-10-01 18:00:00,38497453.0,0.08,0.09,-0.01,-384974.0
2018-01-01 00:00:00,38497453.0,0.11,0.07,0.04,1539898.0
2018-04-02 06:00:00,38497453.0,0.14,0.06,0.08,3079796.0
2018-07-02 12:00:00,38497453.0,0.21,0.07,0.14,5389644.0
2018-10-01 18:00:00,38497453.0,0.39,0.11,0.28,10779287.0
2019-01-01 00:00:00,50292673.0,0.53,0.2,0.33,16596582.0
2019-04-02 13:30:00,50292673.0,0.18,0.21,-0.03,-1508780.0
2019-07-02 21:00:00,18314504.0,-0.72,0.14,-0.86,-15750474.0
2019-10-02 04:30:00,12860170.0,-0.56,0.25,-0.81,-10416738.0
2020-01-01 12:00:00,9011193.0,-0.45,0.02,-0.47,-4235260.0
2020-04-01 19:30:00,9011193.0,-0.14,0.03,-0.17,-1531903.0
2020-07-02 03:00:00,9011193.0,0.19,0.15,0.04,360448.0
2020-10-01 10:30:00,9011193.0,0.07,0.1,-0.03,-270336.0
2020-12-31 18:00:00,9011193.0,0.04,0.04,0.0,0.0
2021-04-02 01:30:00,9011193.0,0.02,0.01,0.01,90112.0
2021-07-02 09:00:00,9011193.0,0.28,0.25,0.03,270336.0
2021-10-01 16:30:00,9011193.0,0.16,0.1,0.06,540672.0
2022-01-01 00:00:00,9011193.0,-0.05,-0.08,0.03,270336.0
2022-04-02 07:30:00,13669113.0,0.53,0.11,0.42,5741028.0
2022-07-02 15:00:00,23822886.0,0.54,0.1,0.44,10482070.0
2022-10-01 22:30:00,2200076.0,0.39,0.12,0.27,594021.0
2023-01-01 06:00:00,2200076.0,-0.27,0.05,-0.32,-704024.0
2023-04-02 13:30:00,11458223.0,-0.44,0.08,-0.52,-5958276.0
2023-07-02 21:00:00,2344743.0,-0.4,0.05,-0.45,-1055134.0
2023-10-02 04:30:00,2344743.0,0.17,0.15,0.02,46895.0
2024-01-01 12:00:00,2344743.0,0.09,-0.03,0.12,281369.0
2024-04-01 19:30:00,22330134.0,0.51,0.21,0.3,6699040.0
2024-07-02 03:00:00,45720065.0,0.67,0.24,0.43,19659628.0
2024-10-01 10:30:00,45720065.0,0.15,0.13,0.02,914401.0
2024-12-31 18:00:00,45720065.0,0.05,0.14,-0.09,-4114806.0
