mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2010-10-01 22:30:00,0,0.0,0.02,0.0,0
2011-01-01 00:00:00,0,0.0,0.01,0.0,0
2011-04-02 07:30:00,0,0.0,0.02,0.0,0
2011-07-02 15:00:00,0,0.0,0.0,0.0,0
2011-10-01 22:30:00,0,0.0,-0.02,0.0,0
2012-01-01 00:00:00,0,0.0,0.02,0.0,0
2012-04-01 07:30:00,0,0.0,0.08,0.0,0
2012-07-01 15:00:00,0,0.0,0.1,0.0,0
2012-09-30 22:30:00,0,0.0,0.07,0.0,0
2013-01-01 00:00:00,0,0.0,0.05,0.0,0
2013-04-02 07:30:00,0,0.0,0.03,0.0,0
2013-07-02 15:00:00,0,0.0,-0.0,0.0,0
2013-10-01 22:30:00,0,0.0,-0.01,0.0,0
2014-01-01 00:00:00,0,0.0,0.03,0.0,0
2014-04-02 07:30:00,24855772,0.58,0.06,0.52,12925001
2014-07-02 15:00:00,53775184,-0.48,-0.02,-0.46,-24736585
2014-10-01 22:30:00,104529196,-0.65,-0.16,-0.49,-51219306
2015-01-01 00:00:00,88339430,-0.57,-0.12,-0.45,-39752744
2015-04-02 07:30:00,20308799,-0.47,-0.05,-0.42,-8529696
2015-07-02 15:00:00,20308799,-0.26,-0.0,-0.26,-5280288
2015-10-01 22:30:00,20308799,-0.02,0.03,-0.05,-1015440
2016-01-01 00:00:00,20308799,0.12,0.03,0.09,1827792
2016-04-01 07:30:00,7595593,0.49,0.01,0.48,3645885
2016-07-01 15:00:00,38256217,0.58,0.02,0.56,21423482
2016-09-30 22:30:00,52487237,0.6,0.03,0.57,29917725
2017-01-01 00:00:00,4167750,0.43,0.02,0.41,1708778
2017-04-02 07:30:00,4167750,0.19,0.01,0.18,750195
2017-07-02 15:00:00,4167750,-0.01,-0.0,-0.01,-41678
2017-10-01 22:30:00,4167750,-0.03,-0.01,-0.02,-83355
2018-01-01 00:00:00,4167750,0.19,-0.0,0.19,791872
2018-04-02 07:30:00,24758828,0.47,0.02,0.45,11141473
2018-07-02 15:00:00,24758828,0.32,0.03,0.29,7180060
2018-10-01 22:30:00,24758828,0.12,0.01,0.11,2723471
2019-01-01 00:00:00,24758828,0.1,0.02,0.08,1980706
2019-04-02 13:30:00,19480362,0.52,0.1,0.42,8181752
2019-07-02 21:00:00,21612687,-0.71,-0.07,-0.64,-13832120
2019-10-02 04:30:00,21612687,-0.02,0.11,-0.13,-2809649
2020-01-01 12:00:00,6787761,-0.45,-0.09,-0.36,-2443594
2020-04-01 19:30:00,10690596,0.44,0.13,0.31,3314085
2020-07-02 03:00:00,41195524,0.55,0.13,0.42,17302120
2020-10-01 10:30:00,24892877,-0.55,-0.02,-0.53,-13193225
2020-12-31 18:00:00,485761,-0.49,-0.04,-0.45,-218592
2021-04-02 01:30:00,485761,-0.14,0.0,-0.14,-68007
2021-07-02 09:00:00,7743220,0.66,0.01,0.65,5033093
2021-10-01 16:30:00,4076506,0.5,0.02,0.48,1956723
2022-01-01 00:00:00,30211127,-0.63,-0.1,-0.53,-16011897
2022-04-02 07:30:00,61510030,0.79,0.06,0.73,44902322
2022-07-02 15:00:00,18777325,0.56,0.03,0.53,9951982
2022-10-01 22:30:00,20447938,-0.55,-0.05,-0.5,-10223969
2023-01-01 06:00:00,14640901,-0.23,-0.05,-0.18,-2635362
2023-04-02 13:30:00,12351285,-0.5,-0.03,-0.47,-5805104
2023-07-02 21:00:00,111741228,0.69,0.1,0.59,65927325
2023-10-02 04:30:00,11951995,0.5,0.15,0.35,4183198
2024-01-01 12:00:00,107718670,-0.58,-0.19,-0.39,-42010281
2024-04-01 19:30:00,107718670,-0.05,0.12,-0.17,-18312174
2024-07-02 03:00:00,19129949,-0.57,-0.0,-0.57,-10904071
2024-10-01 10:30:00,11689264,-0.26,-0.01,-0.25,-2922316
2024-12-31 18:00:00,11689264,0.12,0.15,-0.03,-350678
