mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2010-10-01 18:00:00,,,-0.08,,
2011-01-01 00:00:00,,,-0.1,,
2011-04-02 06:00:00,,,-0.09,,
2011-07-02 12:00:00,,,-0.05,,
2011-10-01 18:00:00,,,0.03,,
2012-01-01 00:00:00,,,0.13,,
2012-04-01 12:00:00,,,0.16,,
2012-07-02 00:00:00,,,0.12,,
2012-10-01 12:00:00,,,0.02,,
2013-01-01 00:00:00,3178752.0,-0.01,-0.05,0.04,127150.0
2013-04-02 06:00:00,,,-0.06,,
2013-07-02 12:00:00,,,-0.01,,
2013-10-01 18:00:00,,,0.01,,
2014-01-01 00:00:00,3178752.0,0.05,0.05,0.0,0.0
2014-04-02 06:00:00,,,0.09,,
2014-07-02 12:00:00,,,0.08,,
2014-10-01 18:00:00,,,0.02,,
2015-01-01 00:00:00,3178752.0,-0.05,-0.04,-0.01,-31788.0
2015-04-02 06:00:00,,,-0.04,,
2015-07-02 12:00:00,,,-0.05,,
2015-10-01 18:00:00,,,-0.05,,
2016-01-01 00:00:00,3178752.0,-0.1,-0.05,-0.05,-158938.0
2016-04-01 12:00:00,,,-0.03,,
2016-07-02 00:00:00,,,-0.05,,
2016-10-01 12:00:00,,,-0.02,,
2017-01-01 00:00:00,3178752.0,0.08,0.04,0.04,127150.0
2017-04-02 06:00:00,,,0.06,,
2017-07-02 12:00:00,,,0.05,,
2017-10-01 18:00:00,,,0.01,,
2018-01-01 00:00:00,3178752.0,0.0,0.0,0.0,0.0
2018-04-02 06:00:00,,,0.01,,
2018-07-02 12:00:00,,,0.0,,
2018-10-01 18:00:00,,,-0.01,,
2019-01-01 00:00:00,3178752.0,-0.09,-0.06,-0.03,-95363.0
2019-04-02 13:30:00,3178752.0,-0.15,-0.09,-0.06,-190725.0
2019-07-02 21:00:00,3178752.0,0.07,0.07,0.0,0.0
2019-10-02 04:30:00,3178752.0,-0.02,0.02,-0.04,-127150.0
2020-01-01 12:00:00,3178752.0,-0.07,-0.05,-0.02,-63575.0
2020-04-01 19:30:00,3178752.0,-0.04,-0.05,0.01,31788.0
2020-07-02 03:00:00,3178752.0,0.04,0.05,-0.01,-31788.0
2020-10-01 10:30:00,1695660.0,-0.27,-0.04,-0.23,-390002.0
2020-12-31 18:00:00,1695660.0,-0.23,-0.09,-0.14,-237392.0
2021-04-02 01:30:00,5827686.0,0.31,0.04,0.27,1573475.0
2021-07-02 09:00:00,19449619.0,0.39,0.15,0.24,4667908.0
2021-10-01 16:30:00,452213.0,0.26,0.06,0.2,90443.0
2022-01-01 00:00:00,452213.0,0.12,0.03,0.09,40699.0
2022-04-02 07:30:00,452213.0,0.21,0.04,0.17,76876.0
2022-07-02 15:00:00,16431994.0,0.35,0.16,0.19,3122079.0
2022-10-01 22:30:00,496935.0,0.27,0.04,0.23,114295.0
2023-01-01 06:00:00,496935.0,0.12,-0.06,0.18,89448.0
2023-04-02 13:30:00,496935.0,0.22,-0.01,0.23,114295.0
2023-07-02 21:00:00,1496131.0,0.27,0.08,0.19,284265.0
2023-10-02 04:30:00,1496131.0,0.19,0.04,0.15,224420.0
2024-01-01 12:00:00,1496131.0,-0.01,0.02,-0.03,-44884.0
2024-04-01 19:30:00,1496131.0,0.21,0.16,0.05,74807.0
2024-07-02 03:00:00,1496131.0,0.11,0.04,0.07,104729.0
2024-10-01 10:30:00,1496131.0,0.19,0.23,-0.04,-59845.0
2024-12-31 18:00:00,1496131.0,-0.44,-0.21,-0.23,-344110.0
