mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-04-02 13:30:00,69040009.0,-0.48,-0.06,-0.42,-28996802.0
2019-07-02 21:00:00,73278572.0,-0.43,-0.05,-0.38,-27845858.0
2019-10-02 04:30:00,317856182.0,0.8,0.16,0.64,203427950.0
2020-01-01 12:00:00,105401925.0,0.42,0.01,0.41,43214790.0
2020-04-01 19:30:00,105401925.0,-0.03,0.07,-0.1,-10540193.0
2020-07-02 03:00:00,44706927.0,-0.4,-0.01,-0.39,-17435702.0
2020-10-01 10:30:00,39506815.0,-0.38,-0.0,-0.38,-15012590.0
2020-12-31 18:00:00,52434663.0,-0.4,-0.05,-0.35,-18352132.0
2021-04-02 01:30:00,52434663.0,-0.14,-0.06,-0.08,-4194773.0
2021-07-02 09:00:00,52434663.0,-0.23,-0.02,-0.21,-11011279.0
2021-10-01 16:30:00,39813395.0,-0.38,-0.04,-0.34,-13536555.0
2022-01-01 00:00:00,190778320.0,-0.42,-0.15,-0.27,-51510148.0
2022-04-02 07:30:00,45744435.0,0.45,-0.03,0.48,21957328.0
2022-07-02 15:00:00,286687790.0,0.69,0.14,0.55,157678290.0
2022-10-01 22:30:00,286687790.0,0.13,0.04,0.09,25801900.0
2023-01-01 06:00:00,64262716.0,-0.43,-0.09,-0.34,-21849324.0
2023-04-02 13:30:00,18041209.0,-0.37,-0.04,-0.33,-5953599.0
2023-07-02 21:00:00,18041209.0,-0.25,-0.01,-0.24,-4329890.0
2023-10-02 04:30:00,2600648.0,-0.35,0.05,-0.4,-1040259.0
2024-01-01 12:00:00,2600648.0,-0.17,-0.11,-0.06,-156039.0
2024-04-01 19:30:00,2600648.0,-0.1,-0.01,-0.09,-234058.0
2024-07-02 03:00:00,2600648.0,-0.2,-0.01,-0.19,-494123.0
2024-10-01 10:30:00,2600648.0,0.03,-0.01,0.04,104026.0
2024-12-31 18:00:00,95722909.0,0.56,-0.02,0.58,55519290.0
