mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2010-10-01 18:00:00,,,-0.17,,
2011-01-01 00:00:00,1090810.0,-0.32,-0.17,-0.15,-163622.0
2011-04-02 06:00:00,4737310.0,-0.32,-0.16,-0.16,-757970.0
2011-07-02 12:00:00,18056368.0,-0.34,-0.12,-0.22,-3972401.0
2011-10-01 18:00:00,18056368.0,-0.2,-0.07,-0.13,-2347328.0
2012-01-01 00:00:00,18056368.0,0.04,-0.0,0.04,722255.0
2012-04-01 12:00:00,18056368.0,0.1,0.02,0.08,1444509.0
2012-07-02 00:00:00,18056368.0,0.07,0.02,0.05,902818.0
2012-10-01 12:00:00,18056368.0,0.15,0.03,0.12,2166764.0
2013-01-01 00:00:00,18056368.0,0.25,0.05,0.2,3611274.0
2013-04-02 06:00:00,1000781.0,0.32,0.04,0.28,280219.0
2013-07-02 12:00:00,5175851.0,0.33,0.03,0.3,1552755.0
2013-10-01 18:00:00,5175851.0,0.27,0.04,0.23,1190446.0
2014-01-01 00:00:00,5175851.0,0.22,0.05,0.17,879895.0
2014-04-02 06:00:00,5175851.0,0.15,0.05,0.1,517585.0
2014-07-02 12:00:00,5175851.0,0.1,0.05,0.05,258793.0
2014-10-01 18:00:00,5175851.0,0.05,0.06,-0.01,-51759.0
2015-01-01 00:00:00,5175851.0,0.05,0.06,-0.01,-51759.0
2015-04-02 06:00:00,5175851.0,0.03,0.03,0.0,0.0
2015-07-02 12:00:00,5175851.0,0.09,0.01,0.08,414068.0
2015-10-01 18:00:00,5175851.0,0.12,0.0,0.12,621102.0
2016-01-01 00:00:00,5175851.0,0.18,0.02,0.16,828136.0
2016-04-01 12:00:00,5175851.0,0.22,0.07,0.15,776378.0
2016-07-02 00:00:00,22537473.0,0.33,0.08,0.25,5634368.0
2016-10-01 12:00:00,22537473.0,0.2,0.1,0.1,2253747.0
2017-01-01 00:00:00,22537473.0,0.06,0.09,-0.03,-676124.0
2017-04-02 06:00:00,22537473.0,-0.01,0.03,-0.04,-901499.0
2017-07-02 12:00:00,22537473.0,-0.06,-0.03,-0.03,-676124.0
2017-10-01 18:00:00,22537473.0,-0.22,-0.09,-0.13,-2929871.0
2018-01-01 00:00:00,76452021.0,-0.39,-0.14,-0.25,-19113006.0
2018-04-02 06:00:00,126045457.0,-0.44,-0.18,-0.26,-32771818.0
2018-07-02 12:00:00,146810339.0,-0.43,-0.19,-0.24,-35234480.0
2018-10-01 18:00:00,142630938.0,-0.41,-0.17,-0.24,-34231424.0
2019-01-01 00:00:00,80910973.0,-0.37,-0.14,-0.23,-18609524.0
2019-04-02 13:30:00,80910973.0,-0.05,-0.03,-0.02,-1618220.0
2019-07-02 21:00:00,80910973.0,0.05,-0.03,0.08,6472878.0
2019-10-02 04:30:00,80910973.0,0.12,0.06,0.06,4854658.0
2020-01-01 12:00:00,80910973.0,0.06,-0.03,0.09,7281988.0
2020-04-01 19:30:00,961477.0,0.32,0.08,0.24,230754.0
2020-07-02 03:00:00,961477.0,0.14,0.01,0.13,124992.0
2020-10-01 10:30:00,26080516.0,0.34,0.15,0.19,4955298.0
2020-12-31 18:00:00,26080516.0,0.14,0.06,0.08,2086441.0
2021-04-02 01:30:00,26080516.0,0.06,-0.07,0.13,3390467.0
2021-07-02 09:00:00,26080516.0,0.25,0.1,0.15,3912078.0
2021-10-01 16:30:00,110084409.0,0.36,0.21,0.15,16512662.0
2022-01-01 00:00:00,110084409.0,0.19,0.1,0.09,9907597.0
2022-04-02 07:30:00,110084409.0,0.12,0.06,0.06,6605064.0
2022-07-02 15:00:00,110084409.0,0.16,0.06,0.1,11008441.0
2022-10-01 22:30:00,110084409.0,0.19,0.13,0.06,6605064.0
2023-01-01 06:00:00,110084409.0,0.09,0.07,0.02,2201688.0
2023-04-02 13:30:00,110084409.0,-0.09,-0.1,0.01,1100844.0
2023-07-02 21:00:00,110084409.0,0.06,0.06,0.0,0.0
2023-10-02 04:30:00,110084409.0,0.04,0.02,0.02,2201688.0
2024-01-01 12:00:00,110084409.0,-0.02,-0.0,-0.02,-2201688.0
2024-04-01 19:30:00,110084409.0,0.02,-0.02,0.04,4403376.0
2024-07-02 03:00:00,110084409.0,-0.13,-0.15,0.02,2201688.0
2024-10-01 10:30:00,110084409.0,0.17,0.12,0.05,5504220.0
2024-12-31 18:00:00,110084409.0,0.0,-0.0,0.0,0.0
