mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2010-10-01 22:30:00,0,0.0,-0.01,0.0,0
2011-01-01 00:00:00,0,0.0,-0.01,0.0,0
2011-04-02 07:30:00,0,0.0,-0.02,0.0,0
2011-07-02 15:00:00,0,0.0,0.0,0.0,0
2011-10-01 22:30:00,0,0.0,0.0,0.0,0
2012-01-01 00:00:00,0,0.0,-0.02,0.0,0
2012-04-01 07:30:00,0,0.0,-0.01,0.0,0
2012-07-01 15:00:00,0,0.0,0.02,0.0,0
2012-09-30 22:30:00,0,0.0,0.04,0.0,0
2013-01-01 00:00:00,0,0.0,0.0,0.0,0
2013-04-02 07:30:00,0,0.0,-0.07,0.0,0
2013-07-02 15:00:00,0,0.0,-0.03,0.0,0
2013-10-01 22:30:00,0,0.0,-0.02,0.0,0
2014-01-01 00:00:00,0,0.0,0.01,0.0,0
2014-04-02 07:30:00,0,0.0,0.05,0.0,0
2014-07-02 15:00:00,0,0.0,0.03,0.0,0
2014-10-01 22:30:00,0,0.0,0.03,0.0,0
2015-01-01 00:00:00,0,0.0,0.01,0.0,0
2015-04-02 07:30:00,0,0.0,0.0,0.0,0
2015-07-02 15:00:00,0,0.0,0.01,0.0,0
2015-10-01 22:30:00,0,0.0,0.05,0.0,0
2016-01-01 00:00:00,0,0.0,0.06,0.0,0
2016-04-01 07:30:00,0,0.0,0.03,0.0,0
2016-07-01 15:00:00,0,0.0,0.02,0.0,0
2016-09-30 22:30:00,0,0.0,0.04,0.0,0
2017-01-01 00:00:00,0,0.0,0.08,0.0,0
2017-04-02 07:30:00,0,0.0,0.05,0.0,0
2017-07-02 15:00:00,0,0.0,0.07,0.0,0
2017-10-01 22:30:00,0,0.0,0.09,0.0,0
2018-01-01 00:00:00,0,0.0,0.06,0.0,0
2018-04-02 07:30:00,0,0.0,0.03,0.0,0
2018-07-02 15:00:00,0,0.0,-0.0,0.0,0
2018-10-01 22:30:00,0,0.0,-0.02,0.0,0
2019-01-01 00:00:00,0,0.0,-0.02,0.0,0
2019-04-02 13:30:00,0,0.0,-0.08,0.0,0
2019-07-02 21:00:00,0,0.0,0.08,0.0,0
2019-10-02 04:30:00,6573305,-0.36,-0.03,-0.33,-2169191
2020-01-01 12:00:00,11248732,-0.41,-0.14,-0.27,-3037158
2020-04-01 19:30:00,5207941,-0.34,-0.11,-0.23,-1197826
2020-07-02 03:00:00,5207941,0.05,0.06,-0.01,-52079
2020-10-01 10:30:00,5207941,-0.06,0.04,-0.1,-520794
2020-12-31 18:00:00,5207941,0.12,-0.05,0.17,885350
2021-04-02 01:30:00,5207941,-0.05,-0.03,-0.02,-104159
2021-07-02 09:00:00,5207941,-0.0,0.07,-0.07,-364556
2021-10-01 16:30:00,5207941,-0.01,-0.02,0.01,52079
2022-01-01 00:00:00,5663700,0.33,0.19,0.14,792918
2022-04-02 07:30:00,5663700,-0.11,-0.04,-0.07,-396459
2022-07-02 15:00:00,5663700,0.04,0.02,0.02,113274
2022-10-01 22:30:00,5663700,-0.11,-0.08,-0.03,-169911
2023-01-01 06:00:00,5663700,-0.14,-0.09,-0.05,-283185
2023-04-02 13:30:00,5663700,-0.1,-0.04,-0.06,-339822
2023-07-02 21:00:00,5663700,-0.01,0.01,-0.02,-113274
2023-10-02 04:30:00,7055798,0.3,0.23,0.07,493906
2024-01-01 12:00:00,7055798,-0.08,-0.08,0.0,0
2024-04-01 19:30:00,7055798,-0.09,-0.02,-0.07,-493906
2024-07-02 03:00:00,7055798,-0.05,-0.03,-0.02,-141116
2024-10-01 10:30:00,7055798,0.63,0.59,0.04,282232
