mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-04-02 13:30:00,1578705083,0.37,0.53,0.11,234143439
2019-07-02 21:00:00,1505524242,0.52,0.71,-0.05,-16499301
2019-10-02 04:30:00,2207839213,2.51,2.46,0.49,-261427456
2020-01-01 12:00:00,1931873668,-5.77,-1.71,-4.3,-478429337
2020-04-01 19:30:00,1888527532,2.17,0.9,1.2,-72018496
2020-07-02 03:00:00,2200901062,7.67,1.35,6.62,380424111
2020-10-01 10:30:00,2644916641,5.23,1.48,3.87,210273471
2020-12-31 18:00:00,2206530885,2.52,1.37,1.14,69614696
2021-04-02 01:30:00,2303631520,1.95,-1.07,2.84,13067295
2021-07-02 09:00:00,2417058298,7.17,1.64,5.62,205229277
2021-10-01 16:30:00,3147096098,6.96,1.63,5.49,333478777
2022-01-01 00:00:00,3220628444,-1.13,-1.17,0.02,28413120
2022-04-02 07:30:00,2098143960,1.25,0.5,0.77,20486136
2022-07-02 15:00:00,2424036404,6.05,1.7,4.41,345484346
2022-10-01 22:30:00,2143617123,7.28,1.91,5.39,336581777
2023-01-01 06:00:00,2381973408,-3.93,-2.45,-1.58,-44272817
2023-04-02 13:30:00,2528838744,-3.51,-0.47,-3.04,-323052995
2023-07-02 21:00:00,2638928488,2.54,2.03,0.5,-361348336
2023-10-02 04:30:00,2491048237,5.49,3.73,1.87,-334835341
2024-01-01 12:00:00,1922740320,-0.75,-0.49,-0.25,-23700321
2024-04-01 19:30:00,1876153016,0.19,-0.05,0.24,-195513469
2024-07-02 03:00:00,2181049555,6.22,2.91,3.31,62955113
2024-10-01 10:30:00,2709822058,3.7,1.64,2.06,-119435177
2024-12-31 18:00:00,1788230678,4.87,0.3,4.57,43154995
