mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-10-01 22:30:00,72330576,-0.07,-0.05,-0.02,-1446612
2011-01-01 00:00:00,72330576,-0.02,-0.03,0.01,723306
2011-04-02 07:30:00,72330576,0.06,0.04,0.02,1446612
2011-07-02 15:00:00,72330576,0.07,0.05,0.02,1446612
2011-10-01 22:30:00,72330576,0.1,0.08,0.02,1446612
2012-01-01 00:00:00,72330576,0.07,0.06,0.01,723306
2012-04-01 07:30:00,72330576,0.07,0.07,0.0,0
2012-07-01 15:00:00,72330576,0.04,0.03,0.01,723306
2012-09-30 22:30:00,72330576,0.09,0.03,0.06,4339835
2013-01-01 00:00:00,72330576,0.22,0.03,0.19,13742810
2013-04-02 07:30:00,72330576,0.44,0.04,0.4,28932231
2013-07-02 15:00:00,72330576,0.51,0.07,0.44,31825454
2013-10-01 22:30:00,72330576,0.37,0.03,0.34,24592396
2014-01-01 00:00:00,72330576,0.22,0.03,0.19,13742810
2014-04-02 07:30:00,72330576,0.07,0.03,0.04,2893223
2014-07-02 15:00:00,72330576,-0.08,-0.0,-0.08,-5786446
2014-10-01 22:30:00,72330576,-0.11,-0.02,-0.09,-6509752
2015-01-01 00:00:00,72330576,-0.06,0.03,-0.09,-6509752
2015-04-02 07:30:00,72330576,-0.06,0.04,-0.1,-7233058
2015-07-02 15:00:00,72330576,-0.05,0.06,-0.11,-7956363
2015-10-01 22:30:00,72330576,-0.05,0.05,-0.1,-7233058
2016-01-01 00:00:00,72330576,0.06,0.09,-0.03,-2169917
2016-04-01 07:30:00,72330576,0.07,0.1,-0.03,-2169917
2016-07-01 15:00:00,72330576,0.01,0.05,-0.04,-2893223
2016-09-30 22:30:00,72330576,-0.04,0.02,-0.06,-4339835
2017-01-01 00:00:00,72330576,-0.09,0.01,-0.1,-7233058
2017-04-02 07:30:00,72330576,-0.12,0.01,-0.13,-9402975
2017-07-02 15:00:00,72330576,-0.07,0.01,-0.08,-5786446
2017-10-01 22:30:00,72330576,-0.06,0.02,-0.08,-5786446
2018-01-01 00:00:00,72330576,-0.04,0.04,-0.08,-5786446
2018-04-02 07:30:00,72330576,-0.01,0.06,-0.07,-5063140
2018-07-02 15:00:00,72330576,-0.02,0.04,-0.06,-4339835
2018-10-01 22:30:00,72330576,-0.01,0.02,-0.03,-2169917
2019-01-01 00:00:00,72330576,0.02,0.01,0.01,723306
2019-04-02 13:30:00,72330576,0.08,0.1,-0.02,-1446612
2019-07-02 21:00:00,72330576,-0.01,0.0,-0.01,-723306
2019-10-02 04:30:00,72330576,0.07,0.09,-0.02,-1446612
2020-01-01 12:00:00,72330576,-0.07,-0.04,-0.03,-2169917
2020-04-01 19:30:00,72330576,0.11,0.11,0.0,0
2020-07-02 03:00:00,72330576,0.08,0.08,0.0,0
2020-10-01 10:30:00,72330576,0.02,0.02,0.0,0
2020-12-31 18:00:00,72330576,-0.07,-0.05,-0.02,-1446612
2021-04-02 01:30:00,72330576,0.02,0.04,-0.02,-1446612
2021-07-02 09:00:00,72330576,0.07,0.07,0.0,0
2021-10-01 16:30:00,72330576,-0.01,-0.0,-0.01,-723306
2022-01-01 00:00:00,72330576,-0.06,-0.06,0.0,0
2022-04-02 07:30:00,72330576,0.02,0.02,0.0,0
2022-07-02 15:00:00,72330576,0.04,0.05,-0.01,-723306
2022-10-01 22:30:00,72330576,0.01,0.0,0.01,723306
2023-01-01 06:00:00,72330576,-0.03,-0.03,0.0,0
2023-04-02 13:30:00,72330576,0.1,0.05,0.05,3616529
2023-07-02 21:00:00,72330576,0.72,0.01,0.71,51354710
2023-10-02 04:30:00,72330576,0.6,0.1,0.5,36165288
2024-01-01 12:00:00,72330576,-0.11,-0.07,-0.04,-2893223
2024-04-01 19:30:00,72330576,-0.08,0.09,-0.17,-12296198
2024-07-02 03:00:00,72330576,-0.14,0.14,-0.28,-20252561
2024-10-01 10:30:00,72330576,-0.21,-0.01,-0.2,-14466115
