mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-10-01 22:30:00,98234355,0.07,0.09,-0.02,-1964687
2011-01-01 00:00:00,98234355,0.06,0.07,-0.01,-982344
2011-04-02 07:30:00,98234355,0.02,0.05,-0.03,-2947031
2011-07-02 15:00:00,98234355,-0.05,0.04,-0.09,-8841092
2011-10-01 22:30:00,98234355,-0.1,0.04,-0.14,-13752810
2012-01-01 00:00:00,98234355,-0.03,0.05,-0.08,-7858748
2012-04-01 07:30:00,98234355,0.03,0.05,-0.02,-1964687
2012-07-01 15:00:00,98234355,0.03,0.06,-0.03,-2947031
2012-09-30 22:30:00,98234355,-0.02,0.04,-0.06,-5894061
2013-01-01 00:00:00,98234355,-0.05,0.03,-0.08,-7858748
2013-04-02 07:30:00,98234355,-0.08,0.01,-0.09,-8841092
2013-07-02 15:00:00,98234355,-0.11,-0.0,-0.11,-10805779
2013-10-01 22:30:00,98234355,-0.1,-0.01,-0.09,-8841092
2014-01-01 00:00:00,98234355,-0.05,-0.0,-0.05,-4911718
2014-04-02 07:30:00,98234355,0.01,0.01,0.0,0
2014-07-02 15:00:00,98234355,0.03,0.03,0.0,0
2014-10-01 22:30:00,98234355,0.01,0.02,-0.01,-982344
2015-01-01 00:00:00,98234355,0.04,0.01,0.03,2947031
2015-04-02 07:30:00,98234355,0.08,0.0,0.08,7858748
2015-07-02 15:00:00,98234355,0.13,0.03,0.1,9823436
2015-10-01 22:30:00,98234355,0.16,0.04,0.12,11788123
2016-01-01 00:00:00,98234355,0.16,0.01,0.15,14735153
2016-04-01 07:30:00,98234355,0.14,-0.03,0.17,16699841
2016-07-01 15:00:00,98234355,0.14,0.0,0.14,13752810
2016-09-30 22:30:00,98234355,0.1,0.01,0.09,8841092
2017-01-01 00:00:00,98234355,0.1,0.03,0.07,6876405
2017-04-02 07:30:00,98234355,0.08,0.05,0.03,2947031
2017-07-02 15:00:00,98234355,0.03,0.05,-0.02,-1964687
2017-10-01 22:30:00,98234355,0.01,0.04,-0.03,-2947031
2018-01-01 00:00:00,98234355,0.04,0.03,0.01,982344
2018-04-02 07:30:00,98234355,0.04,0.01,0.03,2947031
2018-07-02 15:00:00,98234355,-0.04,0.0,-0.04,-3929374
2018-10-01 22:30:00,98234355,-0.17,-0.02,-0.15,-14735153
2019-01-01 00:00:00,98234355,-0.24,-0.05,-0.19,-18664528
2019-04-02 13:30:00,98234355,-0.2,-0.17,-0.03,-2947031
2019-07-02 21:00:00,98234355,-0.25,0.06,-0.31,-30452650
2019-10-02 04:30:00,98234355,-0.02,0.09,-0.11,-10805779
2020-01-01 12:00:00,98234355,-0.15,-0.08,-0.07,-6876405
2020-04-01 19:30:00,98234355,0.1,-0.09,0.19,18664528
2020-07-02 03:00:00,98234355,0.36,0.03,0.33,32417337
2020-10-01 10:30:00,98234355,0.33,0.09,0.24,23576245
2020-12-31 18:00:00,98234355,0.19,0.0,0.19,18664528
2021-04-02 01:30:00,98234355,-0.05,-0.1,0.05,4911718
2021-07-02 09:00:00,98234355,0.25,0.2,0.05,4911718
2021-10-01 16:30:00,98234355,0.11,0.06,0.05,4911718
2022-01-01 00:00:00,98234355,-0.0,0.01,-0.01,-982344
2022-04-02 07:30:00,98234355,0.12,0.1,0.02,1964687
2022-07-02 15:00:00,98234355,-0.13,0.01,-0.14,-13752810
2022-10-01 22:30:00,98234355,0.02,0.01,0.01,982344
2023-01-01 06:00:00,98234355,-0.11,-0.16,0.05,4911718
2023-04-02 13:30:00,98234355,-0.19,-0.13,-0.06,-5894061
2023-07-02 21:00:00,98234355,0.01,-0.03,0.04,3929374
2023-10-02 04:30:00,98234355,0.26,0.25,0.01,982344
2024-01-01 12:00:00,98234355,-0.64,-0.19,-0.45,-44205460
2024-04-01 19:30:00,98234355,-0.01,0.02,-0.03,-2947031
2024-07-02 03:00:00,98234355,-0.08,-0.08,0.0,0
2024-10-01 10:30:00,98234355,0.76,0.76,0.0,0
