midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-11-16 14:15:00,588077293,0.01,-0.01,0.02,11761546
2011-02-15 12:45:00,588077293,0.01,0.0,0.01,5880773
2011-05-17 23:15:00,588077293,0.01,0.0,0.01,5880773
2011-08-17 06:45:00,588077293,0.02,0.0,0.02,11761546
2011-11-16 14:15:00,588077293,0.03,0.0,0.03,17642319
2012-02-15 12:45:00,588077293,0.01,0.0,0.01,5880773
2012-05-16 23:15:00,588077293,-0.01,0.0,-0.01,-5880773
2012-08-16 06:45:00,588077293,-0.01,0.0,-0.01,-5880773
2012-11-15 14:15:00,588077293,-0.0,-0.01,0.01,5880773
2013-02-16 00:45:00,588077293,0.0,-0.0,0.0,0
2013-05-17 23:15:00,588077293,0.01,0.01,0.0,0
2013-08-17 06:45:00,588077293,0.01,0.0,0.01,5880773
2013-11-16 14:15:00,588077293,0.0,-0.0,0.0,0
2014-02-15 12:45:00,588077293,-0.01,-0.01,0.0,0
2014-05-17 23:15:00,588077293,-0.03,-0.02,-0.01,-5880773
2014-08-17 06:45:00,588077293,-0.04,-0.03,-0.01,-5880773
2014-11-16 14:15:00,588077293,-0.04,-0.03,-0.01,-5880773
2015-02-15 12:45:00,588077293,-0.04,-0.01,-0.03,-17642319
2015-05-17 23:15:00,588077293,-0.03,-0.01,-0.02,-11761546
2015-08-17 06:45:00,588077293,-0.02,-0.02,0.0,0
2015-11-16 14:15:00,588077293,-0.02,-0.03,0.01,5880773
2016-02-15 12:45:00,588077293,-0.01,-0.02,0.01,5880773
2016-05-16 23:15:00,588077293,-0.0,0.02,-0.02,-11761546
2016-08-16 06:45:00,588077293,-0.02,0.02,-0.04,-23523092
2016-11-15 14:15:00,588077293,-0.02,0.0,-0.02,-11761546
2017-02-16 00:45:00,588077293,0.0,-0.01,0.01,5880773
2017-05-17 23:15:00,588077293,0.01,-0.01,0.02,11761546
2017-08-17 06:45:00,588077293,0.0,-0.03,0.03,17642319
2017-11-16 14:15:00,588077293,-0.02,-0.04,0.02,11761546
2018-02-15 12:45:00,588077293,-0.02,-0.03,0.01,5880773
2018-05-17 23:15:00,588077293,-0.03,-0.03,0.0,0
2018-08-17 06:45:00,588077293,-0.03,-0.03,0.0,0
2018-11-16 14:15:00,588077293,-0.03,-0.04,0.01,5880773
2019-02-15 12:45:00,588077293,-0.03,-0.04,0.01,5880773
2019-05-18 05:15:00,588077293,-0.02,-0.11,0.09,52926956
2019-08-17 12:45:00,588077293,0.08,0.07,0.01,5880773
2019-11-16 20:15:00,588077293,0.03,0.06,-0.03,-17642319
2020-02-16 03:45:00,588077293,-0.11,-0.12,0.01,5880773
2020-05-17 11:15:00,588077293,-0.03,-0.05,0.02,11761546
2020-08-16 18:45:00,588077293,-0.02,0.01,-0.03,-17642319
2020-11-16 02:15:00,588077293,0.14,0.13,0.01,5880773
2021-02-15 09:45:00,588077293,-0.04,-0.05,0.01,5880773
2021-05-17 17:15:00,588077293,-0.19,-0.18,-0.01,-5880773
2021-08-17 00:45:00,588077293,0.05,0.07,-0.02,-11761546
2021-11-16 08:15:00,588077293,0.21,0.23,-0.02,-11761546
2022-02-15 15:45:00,588077293,0.03,-0.0,0.03,17642319
2022-05-17 23:15:00,588077293,-0.04,-0.03,-0.01,-5880773
2022-08-17 06:45:00,588077293,0.04,0.04,0.0,0
2022-11-16 14:15:00,588077293,0.08,0.13,-0.05,-29403865
2023-02-15 21:45:00,588077293,0.01,-0.01,0.02,11761546
2023-05-18 05:15:00,588077293,-0.09,-0.09,0.0,0
2023-08-17 12:45:00,588077293,0.06,0.06,0.0,0
2023-11-16 20:15:00,588077293,-0.0,0.01,-0.01,-5880773
2024-02-16 03:45:00,588077293,-0.0,-0.02,0.02,11761546
2024-05-17 11:15:00,588077293,-0.11,-0.11,0.0,0
2024-08-16 18:45:00,588077293,-0.13,-0.12,-0.01,-5880773
2024-11-16 02:15:00,588077293,0.13,0.07,0.06,35284638
