mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-10-01 22:30:00,10729840339,-1.01,-1.93,0.92,277092200
2011-01-01 00:00:00,10729840339,-0.72,-2.04,1.32,327012150
2011-04-02 07:30:00,10729840339,0.11,-1.51,1.62,387815809
2011-07-02 15:00:00,10729840339,0.78,-0.66,1.44,335738319
2011-10-01 22:30:00,10729840339,1.06,0.2,0.86,249155975
2012-01-01 00:00:00,10729840339,1.04,0.47,0.57,190555951
2012-04-01 07:30:00,10729840339,1.06,0.88,0.18,104728297
2012-07-01 15:00:00,10729840339,0.34,0.7,-0.36,-72982885
2012-09-30 22:30:00,10729840339,-1.07,0.17,-1.24,-299229512
2013-01-01 00:00:00,10729840339,-2.52,-0.31,-2.21,-647001923
2013-04-02 07:30:00,10729840339,-3.23,-0.62,-2.61,-1021812224
2013-07-02 15:00:00,10729840339,-3.14,-0.8,-2.34,-1302091750
2013-10-01 22:30:00,10729840339,-3.49,-1.22,-2.27,-1562941626
2014-01-01 00:00:00,13571188927,-5.17,-1.98,-3.19,-1793205649
2014-04-02 07:30:00,13571188927,-5.05,-1.52,-3.53,-1476979554
2014-07-02 15:00:00,13571188927,-4.24,-0.85,-3.39,-1094308025
2014-10-01 22:30:00,13571188927,-3.66,-1.28,-2.38,-536270118
2015-01-01 00:00:00,13571188927,-2.14,-1.69,-0.45,76180628
2015-04-02 07:30:00,13571188927,-0.72,-1.26,0.54,382206267
2015-07-02 15:00:00,13571188927,0.62,-0.39,1.01,512940198
2015-10-01 22:30:00,13571188927,1.16,0.12,1.04,494725688
2016-01-01 00:00:00,13571188927,1.36,-0.07,1.43,556033778
2016-04-01 07:30:00,13571188927,2.08,0.45,1.63,493333677
2016-07-01 15:00:00,13571188927,2.84,0.81,2.03,587696463
2016-09-30 22:30:00,13571188927,2.25,0.56,1.69,643887099
2017-01-01 00:00:00,13571188927,1.19,0.35,0.84,628693007
2017-04-02 07:30:00,13571188927,0.8,0.44,0.36,572575140
2017-07-02 15:00:00,13571188927,0.38,0.21,0.17,529222742
2017-10-01 22:30:00,13571188927,-0.32,-0.8,0.48,631855443
2018-01-01 00:00:00,13571188927,-0.51,-1.75,1.24,800500120
2018-04-02 07:30:00,13571188927,-0.06,-1.92,1.86,890921707
2018-07-02 15:00:00,13571188927,0.38,-1.22,1.6,688842077
2018-10-01 22:30:00,13571188927,-0.31,-0.92,0.61,273724023
2019-01-01 00:00:00,13571188927,-0.63,-0.86,0.23,131445352
2019-04-02 13:30:00,13571188927,-1.7,-0.87,-0.83,-266986277
2019-07-02 21:00:00,13571188927,1.2,1.66,-0.46,-151770015
2019-10-02 04:30:00,13571188927,7.88,5.84,2.04,720621287
2020-01-01 12:00:00,13571188927,-7.83,-6.7,-1.13,-250725201
2020-04-01 19:30:00,13571188927,-2.39,-1.74,-0.65,-135709395
2020-07-02 03:00:00,13571188927,5.66,5.18,0.48,-139557412
2020-10-01 10:30:00,13571188927,3.08,0.3,2.78,445261730
2020-12-31 18:00:00,13571188927,-1.23,-3.61,2.38,507081236
2021-04-02 01:30:00,13571188927,-3.73,-4.04,0.31,288722282
2021-07-02 09:00:00,13571188927,2.95,2.04,0.91,278691416
2021-10-01 16:30:00,13571188927,3.53,2.81,0.72,63512179
2022-01-01 00:00:00,13571188927,-2.71,-4.05,1.34,676347623
2022-04-02 07:30:00,13571188927,1.04,0.58,0.46,-253332261
2022-07-02 15:00:00,13571188927,5.03,2.3,2.73,898042452
2022-10-01 22:30:00,13571188927,4.7,2.67,2.03,803922537
2023-01-01 06:00:00,13571188927,-3.08,-4.42,1.34,213097439
2023-04-02 13:30:00,13571188927,-3.48,-3.21,-0.27,-189159776
2023-07-02 21:00:00,13571188927,0.66,1.17,-0.51,-442385403
2023-10-02 04:30:00,13571188927,1.46,2.93,-1.47,-745068714
2024-01-01 12:00:00,13571188927,-10.12,-4.98,-5.14,-1799815985
2024-04-01 19:30:00,13571188927,-6.5,-2.63,-3.87,-1383980890
2024-07-02 03:00:00,13571188927,3.28,4.41,-1.13,-219078652
2024-10-01 10:30:00,13571188927,-1.82,0.16,-1.98,-268008078
2024-12-31 18:00:00,13571188927,-4.6,-3.33,-1.27,-410694867
