mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-04-02 13:30:00,35129089658,1.35,2.06,-0.71,-66490231
2019-07-02 21:00:00,35129089658,1.17,2.49,-1.32,-170577875
2019-10-02 04:30:00,35129089658,11.41,9.53,1.88,681663585
2020-01-01 12:00:00,35129089658,-13.08,-9.74,-3.34,-664045345
2020-04-01 19:30:00,35129089658,-0.35,0.78,-1.13,-104680007
2020-07-02 03:00:00,35129089658,11.03,7.68,3.35,462996288
2020-10-01 10:30:00,35129089658,6.59,2.4,4.19,835083124
2020-12-31 18:00:00,35129089658,0.73,-2.2,2.93,617919221
2021-04-02 01:30:00,35129089658,-4.28,-5.8,1.52,526695425
2021-07-02 09:00:00,35129089658,8.84,5.65,3.19,678322041
2021-10-01 16:30:00,35129089658,7.63,4.7,2.93,528823139
2022-01-01 00:00:00,35129089658,-5.68,-7.14,1.46,699133669
2022-04-02 07:30:00,35129089658,2.21,1.41,0.8,-289288146
2022-07-02 15:00:00,35129089658,9.87,4.96,4.91,1389502653
2022-10-01 22:30:00,35129089658,9.14,4.97,4.17,1269291749
2023-01-01 06:00:00,35129089658,-7.28,-8.0,0.72,119975194
2023-04-02 13:30:00,35129089658,-5.49,-3.64,-1.85,-571051937
2023-07-02 21:00:00,35129089658,4.43,5.29,-0.86,-884081248
2023-10-02 04:30:00,35129089658,9.4,10.56,-1.16,-1156964379
2024-01-01 12:00:00,35129089658,-12.27,-6.71,-5.56,-1975703685
2024-04-01 19:30:00,35129089658,-5.78,-1.47,-4.31,-1534729138
2024-07-02 03:00:00,35129089658,10.58,10.32,0.26,7559638
2024-10-01 10:30:00,35129089658,1.68,2.87,-1.19,-124990929
2024-12-31 18:00:00,35129089658,-2.79,-2.97,0.18,-124367847
