midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-02-15 21:45:00,420515167,-0.14,-0.01,-0.13,-54666972
2019-05-18 05:15:00,420515167,0.01,0.0,0.01,4205152
2019-08-17 12:45:00,420515167,0.02,0.01,0.01,4205152
2019-11-16 20:15:00,420515167,-0.01,-0.01,0.0,0
2020-02-16 03:45:00,420515167,0.03,0.01,0.02,8410303
2020-05-17 11:15:00,420515167,-0.06,-0.04,-0.02,-8410303
2020-08-16 18:45:00,420515167,-0.05,0.01,-0.06,-25230910
2020-11-16 02:15:00,420515167,-0.06,0.02,-0.08,-33641213
2021-02-15 09:45:00,420515167,-0.18,-0.06,-0.12,-50461820
2021-05-17 17:15:00,420515167,-0.08,-0.05,-0.03,-12615455
2021-08-17 00:45:00,420515167,0.12,0.06,0.06,25230910
2021-11-16 08:15:00,420515167,-0.06,-0.05,-0.01,-4205152
2022-02-15 15:45:00,420515167,-0.18,-0.03,-0.15,-63077275
2022-05-17 23:15:00,420515167,-0.09,-0.01,-0.08,-33641213
2022-08-17 06:45:00,420515167,-0.03,-0.01,-0.02,-8410303
2022-11-16 14:15:00,420515167,0.07,0.0,0.07,29436062
2023-02-15 21:45:00,420515167,-0.06,-0.03,-0.03,-12615455
2023-05-18 05:15:00,420515167,-0.3,-0.03,-0.27,-113539095
2023-08-17 12:45:00,420515167,-0.06,-0.01,-0.05,-21025758
2023-11-16 20:15:00,420515167,0.1,0.04,0.06,25230910
2024-02-16 03:45:00,420515167,0.02,-0.03,0.05,21025758
2024-05-17 11:15:00,420515167,-0.05,-0.0,-0.05,-21025758
2024-08-16 18:45:00,420515167,-0.2,-0.08,-0.12,-50461820
