mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-10-01 22:30:00,42768215,-0.04,-0.04,0.0,0
2011-01-01 00:00:00,42768215,-0.03,-0.03,0.0,0
2011-04-02 07:30:00,42768215,0.04,0.02,0.02,855364
2011-07-02 15:00:00,42768215,0.11,0.07,0.04,1710729
2011-10-01 22:30:00,42768215,0.12,0.07,0.05,2138411
2012-01-01 00:00:00,42768215,0.07,0.03,0.04,1710729
2012-04-01 07:30:00,42768215,-0.01,-0.0,-0.01,-427682
2012-07-01 15:00:00,42768215,0.04,0.03,0.01,427682
2012-09-30 22:30:00,42768215,0.03,0.02,0.01,427682
2013-01-01 00:00:00,42768215,-0.05,-0.03,-0.02,-855364
2013-04-02 07:30:00,42768215,-0.03,-0.03,0.0,0
2013-07-02 15:00:00,42768215,0.03,0.01,0.02,855364
2013-10-01 22:30:00,42768215,0.07,0.04,0.03,1283046
2014-01-01 00:00:00,42768215,0.03,0.02,0.01,427682
2014-04-02 07:30:00,42768215,-0.05,-0.02,-0.03,-1283046
2014-07-02 15:00:00,42768215,-0.03,-0.02,-0.01,-427682
2014-10-01 22:30:00,42768215,-0.02,-0.02,0.0,0
2015-01-01 00:00:00,42768215,-0.02,-0.03,0.01,427682
2015-04-02 07:30:00,42768215,-0.05,-0.03,-0.02,-855364
2015-07-02 15:00:00,42768215,0.01,0.01,0.0,0
2015-10-01 22:30:00,42768215,0.04,0.04,0.0,0
2016-01-01 00:00:00,42768215,0.05,0.04,0.01,427682
2016-04-01 07:30:00,42768215,0.01,0.01,0.0,0
2016-07-01 15:00:00,42768215,0.04,0.02,0.02,855364
2016-09-30 22:30:00,42768215,0.01,0.02,-0.01,-427682
2017-01-01 00:00:00,42768215,-0.02,0.01,-0.03,-1283046
2017-04-02 07:30:00,42768215,0.0,0.01,-0.01,-427682
2017-07-02 15:00:00,42768215,0.02,0.02,0.0,0
2017-10-01 22:30:00,42768215,0.03,0.03,0.0,0
2018-01-01 00:00:00,42768215,-0.05,-0.02,-0.03,-1283046
2018-04-02 07:30:00,42768215,-0.13,-0.07,-0.06,-2566093
2018-07-02 15:00:00,42768215,-0.04,-0.04,0.0,0
2018-10-01 22:30:00,42768215,-0.05,-0.04,-0.01,-427682
2019-01-01 00:00:00,42768215,-0.08,-0.05,-0.03,-1283046
2019-04-02 13:30:00,42768215,-0.02,-0.03,0.01,427682
2019-07-02 21:00:00,42768215,-0.02,-0.01,-0.01,-427682
2019-10-02 04:30:00,42768215,-0.03,-0.02,-0.01,-427682
2020-01-01 12:00:00,42768215,-0.04,-0.04,0.0,0
2020-04-01 19:30:00,42768215,-0.04,-0.02,-0.02,-855364
2020-07-02 03:00:00,42768215,0.02,0.01,0.01,427682
2020-10-01 10:30:00,42768215,0.04,0.05,-0.01,-427682
2020-12-31 18:00:00,42768215,-0.11,-0.08,-0.03,-1283046
2021-04-02 01:30:00,42768215,-0.01,0.03,-0.04,-1710729
2021-07-02 09:00:00,42768215,0.03,0.02,0.01,427682
2021-10-01 16:30:00,42768215,-0.0,-0.01,0.01,427682
2022-01-01 00:00:00,42768215,-0.05,0.0,-0.05,-2138411
2022-04-02 07:30:00,42768215,0.03,0.05,-0.02,-855364
2022-07-02 15:00:00,42768215,0.06,0.03,0.03,1283046
2022-10-01 22:30:00,42768215,0.08,0.05,0.03,1283046
2023-01-01 06:00:00,42768215,-0.14,-0.13,-0.01,-427682
2023-04-02 13:30:00,42768215,-0.01,0.01,-0.02,-855364
2023-07-02 21:00:00,42768215,0.19,0.13,0.06,2566093
2023-10-02 04:30:00,42768215,0.16,0.09,0.07,2993775
2024-01-01 12:00:00,42768215,-0.09,-0.06,-0.03,-1283046
2024-04-01 19:30:00,42768215,-0.04,0.01,-0.05,-2138411
2024-07-02 03:00:00,42768215,0.11,0.04,0.07,2993775
2024-10-01 10:30:00,42768215,0.05,0.01,0.04,1710729
