midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-08-17 06:45:00,110067650,-0.04,-0.03,-0.01,-1100677
2010-11-16 11:15:00,110067650,-0.04,-0.03,-0.01,-1100677
2011-02-15 15:45:00,110067650,-0.03,-0.01,-0.02,-2201353
2011-05-17 23:15:00,110067650,-0.0,0.01,-0.01,-1100677
2011-08-17 06:45:00,110067650,0.06,0.06,0.0,0
2011-11-16 11:15:00,110067650,0.09,0.08,0.01,1100677
2012-02-15 15:45:00,110067650,0.05,0.06,-0.01,-1100677
2012-05-16 23:15:00,110067650,0.01,0.01,0.0,0
2012-08-16 06:45:00,110067650,0.01,0.0,0.01,1100677
2012-11-15 23:15:00,110067650,0.08,0.03,0.05,5503383
2013-02-15 15:45:00,110067650,0.14,0.01,0.13,14308795
2013-05-17 23:15:00,110067650,0.23,-0.01,0.24,26416236
2013-08-17 06:45:00,110067650,0.14,0.0,0.14,15409471
2013-11-16 11:15:00,110067650,0.03,0.01,0.02,2201353
2014-02-15 15:45:00,110067650,-0.03,0.0,-0.03,-3302030
2014-05-17 23:15:00,110067650,-0.14,-0.01,-0.13,-14308795
2014-08-17 06:45:00,110067650,-0.21,-0.01,-0.2,-22013530
2014-11-16 11:15:00,110067650,-0.1,0.0,-0.1,-11006765
2015-02-15 15:45:00,110067650,-0.04,-0.01,-0.03,-3302030
2015-05-17 23:15:00,110067650,-0.01,0.01,-0.02,-2201353
2015-08-17 06:45:00,110067650,0.03,0.04,-0.01,-1100677
2015-11-16 11:15:00,110067650,0.05,0.05,0.0,0
2016-02-15 15:45:00,110067650,0.06,0.05,0.01,1100677
2016-05-16 23:15:00,110067650,0.05,0.04,0.01,1100677
2016-08-16 06:45:00,110067650,0.04,0.03,0.01,1100677
2016-11-15 23:15:00,110067650,0.02,0.03,-0.01,-1100677
2017-02-15 15:45:00,110067650,0.0,0.01,-0.01,-1100677
2017-05-17 23:15:00,110067650,-0.0,-0.01,0.01,1100677
2017-08-17 06:45:00,110067650,-0.01,-0.02,0.01,1100677
2017-11-16 11:15:00,110067650,-0.02,-0.01,-0.01,-1100677
2018-02-15 15:45:00,110067650,-0.0,0.0,-0.0,0
2018-05-17 23:15:00,110067650,-0.0,0.0,-0.0,0
2018-08-17 06:45:00,110067650,-0.01,0.01,-0.02,-2201353
2018-11-16 11:15:00,110067650,0.0,-0.0,0.0,0
2019-02-15 21:45:00,110067650,0.09,0.08,0.01,1100677
2019-05-18 05:15:00,110067650,-0.02,-0.01,-0.01,-1100677
2019-08-17 12:45:00,110067650,0.05,0.07,-0.02,-2201353
2019-11-16 20:15:00,110067650,0.0,-0.0,0.0,0
2020-02-16 03:45:00,110067650,0.14,0.12,0.02,2201353
2020-05-17 11:15:00,110067650,0.0,0.01,-0.01,-1100677
2020-08-16 18:45:00,110067650,0.06,0.06,0.0,0
2020-11-16 02:15:00,110067650,-0.07,-0.07,0.0,0
2021-02-15 09:45:00,110067650,0.03,0.03,0.0,0
2021-05-17 17:15:00,110067650,0.03,0.04,-0.01,-1100677
2021-08-17 00:45:00,110067650,-0.0,0.0,-0.0,0
2021-11-16 08:15:00,110067650,-0.06,-0.06,0.0,0
2022-02-15 15:45:00,110067650,0.04,0.04,0.0,0
2022-05-17 23:15:00,110067650,0.02,0.01,0.01,1100677
2022-08-17 06:45:00,110067650,-0.01,-0.0,-0.01,-1100677
2022-11-16 14:15:00,110067650,-0.05,-0.05,0.0,0
2023-02-15 21:45:00,110067650,0.04,0.04,0.0,0
2023-05-18 05:15:00,110067650,0.01,0.02,-0.01,-1100677
2023-08-17 12:45:00,110067650,0.08,0.08,0.0,0
2023-11-16 20:15:00,110067650,0.06,-0.1,0.16,17610824
2024-02-16 03:45:00,110067650,0.63,0.12,0.51,56134502
2024-05-17 11:15:00,110067650,0.21,0.08,0.13,14308795
2024-08-16 18:45:00,110067650,-0.17,-0.1,-0.07,-7704736
