mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-10-01 22:30:00,183737396,0.13,0.04,0.09,16536366
2011-01-01 00:00:00,183737396,0.19,-0.0,0.19,34910105
2011-04-02 07:30:00,183737396,0.21,-0.05,0.26,47771723
2011-07-02 15:00:00,183737396,0.23,-0.01,0.24,44096975
2011-10-01 22:30:00,183737396,0.25,0.08,0.17,31235357
2012-01-01 00:00:00,183737396,0.28,0.11,0.17,31235357
2012-04-01 07:30:00,183737396,0.32,0.14,0.18,33072731
2012-07-01 15:00:00,183737396,-0.09,0.13,-0.22,-40422227
2012-09-30 22:30:00,183737396,-1.1,0.1,-1.2,-220484876
2013-01-01 00:00:00,183737396,-1.66,0.06,-1.72,-316028322
2013-04-02 07:30:00,183737396,-0.96,0.06,-1.02,-187412144
2013-07-02 15:00:00,183737396,-0.16,0.04,-0.2,-36747479
2013-10-01 22:30:00,183737396,-0.0,-0.0,0.0,0
2014-01-01 00:00:00,183737396,-0.41,-0.01,-0.4,-73494959
2014-04-02 07:30:00,183737396,-0.56,0.06,-0.62,-113917186
2014-07-02 15:00:00,183737396,-0.29,0.08,-0.37,-67982837
2014-10-01 22:30:00,183737396,0.08,0.05,0.03,5512122
2015-01-01 00:00:00,183737396,0.31,-0.01,0.32,58795967
2015-04-02 07:30:00,183737396,0.49,-0.02,0.51,93706072
2015-07-02 15:00:00,183737396,0.56,0.03,0.53,97380820
2015-10-01 22:30:00,183737396,0.51,0.08,0.43,79007080
2016-01-01 00:00:00,183737396,0.44,0.1,0.34,62470715
2016-04-01 07:30:00,183737396,0.38,0.11,0.27,49609097
2016-07-01 15:00:00,183737396,0.34,0.1,0.24,44096975
2016-09-30 22:30:00,183737396,0.37,0.09,0.28,51446471
2017-01-01 00:00:00,183737396,0.48,0.1,0.38,69820211
2017-04-02 07:30:00,183737396,0.58,0.11,0.47,86356576
2017-07-02 15:00:00,183737396,0.54,0.09,0.45,82681828
2017-10-01 22:30:00,183737396,0.48,0.05,0.43,79007080
2018-01-01 00:00:00,183737396,0.43,0.03,0.4,73494959
2018-04-02 07:30:00,183737396,0.37,0.05,0.32,58795967
2018-07-02 15:00:00,183737396,0.05,0.06,-0.01,-1837374
2018-10-01 22:30:00,183737396,-0.65,0.08,-0.73,-134128299
2019-01-01 00:00:00,183737396,-1.08,0.11,-1.19,-218647502
2019-04-02 13:30:00,183737396,-0.75,0.05,-0.8,-146989917
2019-07-02 21:00:00,183737396,0.17,0.12,0.05,9186870
2019-10-02 04:30:00,183737396,0.9,0.2,0.7,128616178
2020-01-01 12:00:00,183737396,0.25,0.01,0.24,44096975
2020-04-01 19:30:00,183737396,-0.56,0.09,-0.65,-119429308
2020-07-02 03:00:00,183737396,-0.58,0.12,-0.7,-128616178
2020-10-01 10:30:00,183737396,-0.16,0.07,-0.23,-42259601
2020-12-31 18:00:00,183737396,0.36,-0.01,0.37,67982837
2021-04-02 01:30:00,183737396,-0.26,-0.02,-0.24,-44096975
2021-07-02 09:00:00,183737396,-0.05,0.22,-0.27,-49609097
2021-10-01 16:30:00,183737396,0.15,0.06,0.09,16536366
2022-01-01 00:00:00,183737396,0.5,-0.12,0.62,113917186
2022-04-02 07:30:00,183737396,0.62,0.08,0.54,99218194
2022-07-02 15:00:00,183737396,0.68,0.09,0.59,108405064
2022-10-01 22:30:00,183737396,0.46,0.05,0.41,75332333
2023-01-01 06:00:00,183737396,1.04,0.08,0.96,176387901
2023-04-02 13:30:00,183737396,-0.33,0.12,-0.45,-82681828
2023-07-02 21:00:00,183737396,-1.43,0.05,-1.48,-271931347
2023-10-02 04:30:00,183737396,-0.34,0.17,-0.51,-93706072
2024-01-01 12:00:00,183737396,-0.49,-0.08,-0.41,-75332333
2024-04-01 19:30:00,183737396,-0.18,0.16,-0.34,-62470715
2024-07-02 03:00:00,183737396,0.08,0.19,-0.11,-20211114
2024-10-01 10:30:00,183737396,-0.0,0.02,-0.02,-3674748
2024-12-31 18:00:00,183737396,0.4,0.05,0.35,64308089
