midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-11-16 14:15:00,161054918,-0.09,-0.07,-0.02,-3221098
2011-02-15 12:45:00,161054918,-0.05,-0.07,0.02,3221098
2011-05-17 23:15:00,161054918,0.01,-0.04,0.05,8052746
2011-08-17 06:45:00,161054918,0.02,0.0,0.02,3221098
2011-11-16 14:15:00,161054918,0.06,0.04,0.02,3221098
2012-02-15 12:45:00,161054918,0.1,0.07,0.03,4831648
2012-05-16 23:15:00,161054918,0.14,0.08,0.06,9663295
2012-08-16 06:45:00,161054918,0.16,0.05,0.11,17716041
2012-11-15 14:15:00,161054918,0.11,0.05,0.06,9663295
2013-02-16 00:45:00,161054918,0.07,0.05,0.02,3221098
2013-05-17 23:15:00,161054918,0.1,0.05,0.05,8052746
2013-08-17 06:45:00,161054918,0.3,0.05,0.25,40263730
2013-11-16 14:15:00,161054918,0.54,0.03,0.51,82138008
2014-02-15 12:45:00,161054918,0.43,0.03,0.4,64421967
2014-05-17 23:15:00,161054918,0.07,0.02,0.05,8052746
2014-08-17 06:45:00,161054918,-0.17,0.02,-0.19,-30600434
2014-11-16 14:15:00,161054918,-0.23,0.02,-0.25,-40263730
2015-02-15 12:45:00,161054918,-0.19,0.04,-0.23,-37042631
2015-05-17 23:15:00,161054918,-0.14,0.03,-0.17,-27379336
2015-08-17 06:45:00,161054918,-0.12,0.05,-0.17,-27379336
2015-11-16 14:15:00,161054918,-0.07,0.07,-0.14,-22547689
2016-02-15 12:45:00,161054918,0.0,0.07,-0.07,-11273844
2016-05-16 23:15:00,161054918,0.05,0.06,-0.01,-1610549
2016-08-16 06:45:00,161054918,0.06,0.04,0.02,3221098
2016-11-15 14:15:00,161054918,0.08,0.03,0.05,8052746
2017-02-16 00:45:00,161054918,0.09,0.06,0.03,4831648
2017-05-17 23:15:00,161054918,0.07,0.08,-0.01,-1610549
2017-08-17 06:45:00,161054918,0.09,0.05,0.04,6442197
2017-11-16 14:15:00,161054918,0.21,0.03,0.18,28989885
2018-02-15 12:45:00,161054918,0.39,0.04,0.35,56369221
2018-05-17 23:15:00,161054918,0.36,0.02,0.34,54758672
2018-08-17 06:45:00,161054918,0.17,0.01,0.16,25768787
2018-11-16 14:15:00,161054918,-0.04,0.01,-0.05,-8052746
2019-02-15 12:45:00,161054918,-0.13,0.03,-0.16,-25768787
2019-05-18 05:15:00,161054918,-0.22,0.05,-0.27,-43484828
2019-08-17 12:45:00,161054918,-0.1,0.04,-0.14,-22547689
2019-11-16 20:15:00,161054918,-0.2,0.11,-0.31,-49927025
2020-02-16 03:45:00,161054918,-0.28,-0.01,-0.27,-43484828
2020-05-17 11:15:00,161054918,-0.06,0.1,-0.16,-25768787
2020-08-16 18:45:00,161054918,0.01,0.08,-0.07,-11273844
2020-11-16 02:15:00,161054918,0.1,0.07,0.03,4831648
2021-02-15 09:45:00,161054918,0.02,-0.03,0.05,8052746
2021-05-17 17:15:00,161054918,0.0,-0.03,0.03,4831648
2021-08-17 00:45:00,161054918,0.22,0.17,0.05,8052746
2021-11-16 08:15:00,161054918,0.07,0.02,0.05,8052746
2022-02-15 15:45:00,161054918,-0.06,-0.08,0.02,3221098
2022-05-17 23:15:00,161054918,0.07,0.03,0.04,6442197
2022-08-17 06:45:00,161054918,0.13,0.1,0.03,4831648
2022-11-16 14:15:00,161054918,0.09,0.04,0.05,8052746
2023-02-15 21:45:00,161054918,0.02,-0.0,0.02,3221098
2023-05-18 05:15:00,161054918,0.03,0.05,-0.02,-3221098
2023-08-17 12:45:00,161054918,0.93,0.09,0.84,135286131
2023-11-16 20:15:00,161054918,0.79,0.17,0.62,99854049
2024-02-16 03:45:00,161054918,-0.33,-0.01,-0.32,-51537574
2024-05-17 11:15:00,161054918,-0.43,0.11,-0.54,-86969656
2024-08-16 18:45:00,161054918,-0.32,0.15,-0.47,-75695812
2024-11-16 02:15:00,161054918,-0.36,0.02,-0.38,-61200869
