midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-11-16 14:15:00,7897775350,-0.5399999999999999,-1.34,0.8,252366341
2011-02-15 12:45:00,7897775350,-0.30999999999999994,-1.56,1.25,303113996
2011-05-17 23:15:00,7897775350,0.17000000000000004,-1.29,1.46,367467253
2011-08-17 06:45:00,7897775350,0.65,-0.6699999999999999,1.32,346656889
2011-11-16 14:15:00,7897775350,1.0699999999999998,0.09,0.9800000000000001,304894916
2012-02-15 12:45:00,7897775350,1.2,0.5,0.7,268688768
2012-05-16 23:15:00,7897775350,1.15,0.8,0.35,158957714
2012-08-16 06:45:00,7897775350,0.47000000000000003,0.8099999999999999,-0.33999999999999997,-62284303
2012-11-15 14:15:00,7897775350,-0.63,0.5200000000000001,-1.15,-268504964
2013-02-16 00:45:00,7897775350,-2.07,-0.060000000000000046,-2.01,-594496822
2013-05-17 23:15:00,7897775350,-3.13,-0.67,-2.46,-956981861
2013-08-17 06:45:00,7897775350,-3.1399999999999997,-0.83,-2.3099999999999996,-1289160076
2013-11-16 14:15:00,7897775350,-3.13,-0.92,-2.21,-1544708948
2014-02-15 12:45:00,10440234714,-4.4799999999999995,-1.34,-3.14,-1767794389
2014-05-17 23:15:00,10440234714,-4.59,-1.15,-3.44,-1468610544
2014-08-17 06:45:00,10440234714,-4.1899999999999995,-0.72,-3.4699999999999998,-1166924888
2014-11-16 14:15:00,10440234714,-3.44,-0.9799999999999999,-2.46,-622818435
2015-02-15 12:45:00,10440234714,-1.96,-1.31,-0.6500000000000001,-53406131
2015-05-17 23:15:00,10440234714,-0.7899999999999999,-1.14,0.35,179228728
2015-08-17 06:45:00,10440234714,0.21000000000000005,-0.4600000000000001,0.67,286183669
2015-11-16 14:15:00,10440234714,0.8900000000000001,0.010000000000000071,0.8799999999999999,365878995
2016-02-15 12:45:00,10440234714,1.36,-0.010000000000000002,1.37,497646217
2016-05-16 23:15:00,10440234714,1.9299999999999997,0.46,1.47,466076542
2016-08-16 06:45:00,10440234714,2.58,0.6900000000000001,1.8900000000000001,558728492
2016-11-15 14:15:00,10440234714,2.21,0.59,1.62,579784074
2017-02-16 00:45:00,10440234714,1.25,0.36000000000000004,0.89,568121007
2017-05-17 23:15:00,10440234714,0.5,0.17,0.33000000000000007,521728152
2017-08-17 06:45:00,10440234714,-0.05999999999999986,-0.1700000000000001,0.10999999999999999,522557087
2017-11-16 14:15:00,10440234714,-0.16999999999999996,-0.8099999999999999,0.64,738618686
2018-02-15 12:45:00,10440234714,0.37,-1.28,1.6500000000000001,955737743
2018-05-17 23:15:00,10440234714,0.88,-1.29,2.17,985428707
2018-08-17 06:45:00,10440234714,1.05,-0.66,1.7100000000000002,710642428
2018-11-16 14:15:00,10440234714,0.3700000000000001,-0.36,0.7300000000000001,290492353
2019-02-15 12:45:00,10440234714,0.12999999999999998,-0.27,0.4000000000000001,174606442
2019-05-18 05:15:00,10440234714,-1.44,-0.45999999999999996,-0.98,-259282922
2019-08-17 12:45:00,10440234714,0.74,1.24,-0.5,-223984733
2019-11-16 20:15:00,10440234714,7.03,4.66,2.37,844988418
2020-02-16 03:45:00,10440234714,-5.62,-4.65,-0.9700000000000001,-271247858
2020-05-17 11:15:00,10440234714,-0.8400000000000001,-0.5100000000000001,-0.3299999999999999,-84721159
2020-08-16 18:45:00,10440234714,4.91,4.05,0.8600000000000001,-83414185
2020-11-16 02:15:00,10440234714,3.19,0.23000000000000004,2.96,433279467
2021-02-15 09:45:00,10440234714,-0.49,-2.58,2.09,470679779
2021-05-17 17:15:00,10440234714,-2.68,-2.73,0.04999999999999995,272084693
2021-08-17 00:45:00,10440234714,2.5500000000000003,1.75,0.8,295585496
2021-11-16 08:15:00,10440234714,3.7399999999999998,2.7399999999999998,1.0,53936784
2022-02-15 15:45:00,10440234714,-2.68,-3.83,1.15,721665671
2022-05-17 23:15:00,10440234714,1.27,0.78,0.4900000000000001,-290553273
2022-08-17 06:45:00,10440234714,4.24,1.72,2.52,462002643
2022-11-16 14:15:00,10440234714,3.08,1.81,1.27,179235267
2023-02-15 21:45:00,10440234714,-0.71,-2.31,1.5999999999999999,313620157
2023-05-18 05:15:00,10440234714,-2.6,-2.33,-0.27,-184427280
2023-08-17 12:45:00,10440234714,-0.03999999999999987,0.75,-0.7900000000000003,-473926139
2023-11-16 20:15:00,10440234714,0.6100000000000002,2.2,-1.59,-615106629
2024-02-16 03:45:00,10440234714,-9.1,-3.64,-5.46,-1832977174
2024-05-17 11:15:00,10440234714,-4.5600000000000005,-1.18,-3.38,-1196919257
2024-08-16 18:45:00,10440234714,2.4200000000000004,3.33,-0.9099999999999999,-123022193
2024-11-16 02:15:00,10440234714,0.7799999999999999,2.68,-1.9,-285600319
