midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-11-16 14:15:00,7897775350,-0.5399999999999999,-1.34,0.8,252366341
2011-02-15 12:45:00,7897775350,-0.30999999999999994,-1.56,1.25,303113996
2011-05-17 23:15:00,7897775350,0.17000000000000004,-1.29,1.46,367467253
2011-08-17 06:45:00,7897775350,0.65,-0.6699999999999999,1.32,346656889
2011-11-16 14:15:00,7897775350,1.0699999999999998,0.09,0.9800000000000001,304894916
2012-02-15 12:45:00,7897775350,1.2,0.5,0.7,268688768
2012-05-16 23:15:00,7897775350,1.15,0.8,0.35,158957714
2012-08-16 06:45:00,7897775350,0.47000000000000003,0.8099999999999999,-0.33999999999999997,-62284303
2012-11-15 14:15:00,7897775350,-0.63,0.5200000000000001,-1.15,-268504964
2013-02-16 00:45:00,7897775350,-2.07,-0.060000000000000046,-2.01,-594496822
2013-05-17 23:15:00,7897775350,-3.13,-0.67,-2.46,-956981861
2013-08-17 06:45:00,7897775350,-3.1399999999999997,-0.83,-2.3099999999999996,-1289160076
2013-11-16 14:15:00,7897775350,-3.13,-0.92,-2.21,-1544708948
2014-02-15 12:45:00,7897775350,-3.75,-1.22,-2.53,-1455695112
2014-05-17 23:15:00,7897775350,-3.61,-1.08,-2.5300000000000002,-1025774011
2014-08-17 06:45:00,7897775350,-2.8,-0.6799999999999999,-2.12,-553102500
2014-11-16 14:15:00,7897775350,-1.91,-0.9399999999999998,-0.97,24993503
2015-02-15 12:45:00,7897775350,-0.72,-1.25,0.5299999999999999,456362060
2015-05-17 23:15:00,7897775350,-0.020000000000000046,-1.06,1.04,503466586
2015-08-17 06:45:00,7897775350,0.40000000000000013,-0.44000000000000006,0.84,383416583
2015-11-16 14:15:00,7897775350,0.7300000000000001,0.030000000000000034,0.7,281456965
2016-02-15 12:45:00,7897775350,1.05,0.030000000000000006,1.02,324181091
2016-05-16 23:15:00,7897775350,1.5699999999999998,0.47000000000000003,1.1,281736173
2016-08-16 06:45:00,7897775350,2.15,0.67,1.48,339776521
2016-11-15 14:15:00,7897775350,1.83,0.5800000000000001,1.2500000000000002,371090008
2017-02-16 00:45:00,7897775350,0.9499999999999998,0.36000000000000004,0.5900000000000001,397520367
2017-05-17 23:15:00,7897775350,0.22999999999999998,0.10999999999999999,0.1200000000000001,407196834
2017-08-17 06:45:00,7897775350,-0.2899999999999998,-0.26000000000000006,-0.029999999999999916,479847310
2017-11-16 14:15:00,7897775350,-0.41999999999999993,-0.9,0.47999999999999987,678930204
2018-02-15 12:45:00,7897775350,0.059999999999999956,-1.3800000000000001,1.4400000000000002,845598353
2018-05-17 23:15:00,7897775350,0.42000000000000004,-1.4,1.82,768645305
2018-08-17 06:45:00,7897775350,0.7200000000000002,-0.7500000000000001,1.47,554731933
2018-11-16 14:15:00,7897775350,0.42999999999999994,-0.45999999999999996,0.89,391073197
2019-02-15 12:45:00,7897775350,0.35,-0.29000000000000004,0.6399999999999999,344067491
2019-05-18 05:15:00,7897775350,-1.6099999999999999,-0.57,-1.04,-204087499
2019-08-17 12:45:00,7897775350,1.4100000000000001,1.15,0.26,267650678
2019-11-16 20:15:00,7897775350,5.220000000000001,4.44,0.78,221621837
2020-02-16 03:45:00,7897775350,-6.34,-4.46,-1.8800000000000001,-678262935
2020-05-17 11:15:00,7897775350,-0.6699999999999999,-0.35,-0.3199999999999999,-87503433
2020-08-16 18:45:00,7897775350,4.79,4.0600000000000005,0.7300000000000001,-75251633
2020-11-16 02:15:00,7897775350,2.87,0.18000000000000005,2.69,300634934
2021-02-15 09:45:00,7897775350,-0.79,-2.8200000000000003,2.03,422699952
2021-05-17 17:15:00,7897775350,-2.46,-2.54,0.07999999999999997,238942268
2021-08-17 00:45:00,7897775350,2.14,1.6600000000000001,0.4800000000000001,145065376
2021-11-16 08:15:00,7897775350,3.4,2.66,0.74,-73643202
2022-02-15 15:45:00,7897775350,-2.74,-3.64,0.9,581055585
2022-05-17 23:15:00,7897775350,1.7599999999999998,0.72,1.04,34172726
2022-08-17 06:45:00,7897775350,4.1,1.58,2.52,434286014
2022-11-16 14:15:00,7897775350,2.92,1.72,1.2,129214285
2023-02-15 21:45:00,7897775350,-0.5799999999999998,-2.0100000000000002,1.43,175745887
2023-05-18 05:15:00,7897775350,-2.7,-2.2399999999999998,-0.46,-339467667
2023-08-17 12:45:00,7897775350,-0.6799999999999999,0.36,-1.0400000000000003,-657667107
2023-11-16 20:15:00,7897775350,0.17000000000000018,1.9100000000000001,-1.74,-763563219
2024-02-16 03:45:00,7897775350,-5.5200000000000005,-3.5,-2.02,-399705261
2024-05-17 11:15:00,7897775350,-2.44,-0.94,-1.5,-458658202
2024-08-16 18:45:00,7897775350,1.7100000000000002,2.98,-1.2699999999999998,-321637416
2024-11-16 02:15:00,7897775350,1.5499999999999998,3.18,-1.63,-245172342
