midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-05-18 05:15:00,234263054,-0.2,-0.06,-0.14,-32796828
2019-08-17 12:45:00,234263054,0.03,0.0,0.03,7027892
2019-11-16 20:15:00,234263054,0.04,-0.02,0.06,14055783
2020-02-16 03:45:00,234263054,-0.01,0.0,-0.01,-2342631
2020-05-17 11:15:00,234263054,0.04,0.02,0.02,4685261
2020-08-16 18:45:00,234263054,-0.08,-0.03,-0.05,-11713153
2020-11-16 02:15:00,234263054,-0.09,-0.0,-0.09,-21083675
2021-02-15 09:45:00,234263054,-0.12,0.01,-0.13,-30454197
2021-05-17 17:15:00,234263054,-0.25,-0.08,-0.17,-39824719
2021-08-17 00:45:00,234263054,-0.11,-0.06,-0.05,-11713153
2021-11-16 08:15:00,234263054,0.17,0.06,0.11,25768936
2022-02-15 15:45:00,234263054,-0.08,-0.05,-0.03,-7027892
2022-05-17 23:15:00,234263054,-0.29,-0.04,-0.25,-58565764
2022-08-17 06:45:00,234263054,-0.11,-0.04,-0.07,-16398414
2022-11-16 14:15:00,234263054,-0.03,-0.02,-0.01,-2342631
2023-02-15 21:45:00,234263054,0.13,0.01,0.12,28111566
2023-05-18 05:15:00,234263054,-0.09,-0.03,-0.06,-14055783
2023-08-17 12:45:00,234263054,-0.47,-0.08,-0.39,-91362591
2023-11-16 20:15:00,234263054,-0.09,-0.04,-0.05,-11713153
2024-02-16 03:45:00,234263054,0.14,0.04,0.1,23426305
2024-05-17 11:15:00,234263054,0.06,-0.02,0.08,18741044
2024-08-16 18:45:00,234263054,-0.07,-0.02,-0.05,-11713153
2024-11-16 02:15:00,234263054,-0.28,-0.12,-0.16,-37482089
