mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-01-01 00:00:00,236744217.22155088,0.15,0.05,0.1,23674422.0
2019-04-02 06:00:00,236744217.22155088,0.17,0.07,0.1,23674422.0
2019-07-02 12:00:00,236744217.22155088,0.17,0.06,0.11,26041864.0
2019-10-01 18:00:00,236744217.22155088,0.15,0.02,0.13,30776748.0
2020-01-01 00:00:00,236744217.22155088,0.13,-0.01,0.14,33144190.0
2020-04-01 12:00:00,236744217.22155088,0.14,0.01,0.13,30776748.0
2020-07-02 00:00:00,236744217.22155088,0.15,0.05,0.1,23674422.0
2020-10-01 12:00:00,236744217.22155088,0.11,0.05,0.06,14204653.0
2021-01-01 00:00:00,236744217.22155088,0.06,0.04,0.02,4734884.0
2021-04-02 06:00:00,236744217.22155088,0.04,0.03,0.01,2367442.0
2021-07-02 12:00:00,236744217.22155088,0.04,0.02,0.02,4734884.0
