mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-01-01 00:00:00,299348498.74162084,0.08,0.04,0.04,11973940.0
2019-04-02 06:00:00,299348498.74162084,0.08,0.04,0.04,11973940.0
2019-07-02 12:00:00,299348498.74162084,0.07,0.05,0.02,5986970.0
2019-10-01 18:00:00,299348498.74162084,0.1,0.06,0.04,11973940.0
2020-01-01 00:00:00,299348498.74162084,0.1,0.07,0.03,8980455.0
2020-04-01 12:00:00,299348498.74162084,0.07,0.07,0.0,0.0
2020-07-02 00:00:00,299348498.74162084,0.07,0.06,0.01,2993485.0
2020-10-01 12:00:00,299348498.74162084,0.11,0.06,0.05,14967425.0
2021-01-01 00:00:00,299348498.74162084,0.2,0.07,0.13,38915305.0
2021-04-02 06:00:00,299348498.74162084,0.19,0.08,0.11,32928335.0
2021-07-02 12:00:00,299348498.74162084,0.16,0.09,0.07,20954395.0
