mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-01-01 00:00:00,169927925.1166504,-1.15,0.1,-1.25,-212409906.0
2019-04-02 06:00:00,169927925.1166504,-0.72,0.1,-0.82,-139340899.0
2019-07-02 12:00:00,169927925.1166504,-0.02,0.06,-0.08,-13594234.0
2019-10-01 18:00:00,169927925.1166504,0.38,0.04,0.34,57775495.0
2020-01-01 00:00:00,169927925.1166504,0.18,0.06,0.12,20391351.0
2020-04-01 12:00:00,169927925.1166504,-0.34,0.09,-0.43,-73069008.0
2020-07-02 00:00:00,169927925.1166504,-0.5,0.08,-0.58,-98558197.0
2020-10-01 12:00:00,169927925.1166504,-0.29,0.05,-0.34,-57775495.0
2021-01-01 00:00:00,169927925.1166504,0.02,-0.01,0.03,5097838.0
2021-04-02 06:00:00,169927925.1166504,0.07,-0.01,0.08,13594234.0
2021-07-02 12:00:00,169927925.1166504,0.06,-0.0,0.06,10195676.0
