mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-01-01 00:00:00,55948059.21765995,-0.05,-0.18,0.13,7273248.0
2019-04-02 06:00:00,55948059.21765995,-0.01,-0.11,0.1,5594806.0
2019-07-02 12:00:00,55948059.21765995,-0.03,-0.1,0.07,3916364.0
2019-10-01 18:00:00,55948059.21765995,0.05,-0.04,0.09,5035325.0
2020-01-01 00:00:00,55948059.21765995,0.16,0.03,0.13,7273248.0
2020-04-01 12:00:00,55948059.21765995,0.14,0.06,0.08,4475845.0
2020-07-02 00:00:00,55948059.21765995,0.06,0.01,0.05,2797403.0
2020-10-01 12:00:00,55948059.21765995,-0.02,-0.04,0.02,1118961.0
2021-01-01 00:00:00,55948059.21765995,-0.08,-0.08,0.0,0.0
2021-04-02 06:00:00,55948059.21765995,-0.1,-0.1,0.0,0.0
2021-07-02 12:00:00,55948059.21765995,-0.1,-0.1,0.0,0.0
