mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-01-01 00:00:00,406545592.8864855,-0.11,-0.15,0.04,16261824.0
2019-04-02 06:00:00,406545592.8864855,0.0,-0.09,0.09,36589103.0
2019-07-02 12:00:00,406545592.8864855,0.06,-0.04,0.1,40654559.0
2019-10-01 18:00:00,406545592.8864855,0.09,-0.03,0.12,48785471.0
2020-01-01 00:00:00,406545592.8864855,0.15,-0.03,0.18,73178207.0
2020-04-01 12:00:00,406545592.8864855,0.19,-0.03,0.22,89440030.0
2020-07-02 00:00:00,406545592.8864855,0.18,-0.03,0.21,85374575.0
2020-10-01 12:00:00,406545592.8864855,0.16,-0.03,0.19,77243663.0
2021-01-01 00:00:00,406545592.8864855,0.13,-0.02,0.15,60981839.0
2021-04-02 06:00:00,406545592.8864855,0.1,-0.01,0.11,44720015.0
2021-07-02 12:00:00,406545592.8864855,0.09,-0.0,0.09,36589103.0
