mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-01-01 00:00:00,67241981,0.09,0.07,0.02,1344840
2019-04-02 06:00:00,67241981,0.1,0.08,0.02,1344840
2019-07-02 12:00:00,67241981,0.12,0.08,0.04,2689679
2019-10-01 18:00:00,67241981,0.1,0.07,0.03,2017259
2020-01-01 00:00:00,67241981,0.12,0.07,0.05,3362099
2020-04-01 12:00:00,67241981,0.21,0.1,0.11,7396618
2020-07-02 00:00:00,67241981,0.31,0.13,0.18,12103557
2020-10-01 12:00:00,67241981,0.29,0.12,0.17,11431137
2021-01-01 00:00:00,67241981,0.09,0.1,-0.01,-672420
2021-04-02 06:00:00,67241981,0.07,0.1,-0.03,-2017259
2021-07-02 12:00:00,67241981,0.09,0.1,-0.01,-672420
