mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),date,mid_pt_datetime_CS2,stationary_outline_area (m^2)_CS2,stationary_outline_dh (m)_CS2,stationary_outline_region_dh (m)_CS2,stationary_outline_dh_corr (m)_CS2,stationary_outline_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,339697904,0.23,0.04,0.19,64542602,2019-01-01,2019-01-01 00:00:00,339697904.86485046,0.23,0.04,0.19,64542602.0,Lake78
2019-04-02 13:30:00,339697904,-0.29,-0.0,-0.29,-98512392,2019-04-02,2019-04-02 06:00:00,339697904.86485046,-0.06,0.03,-0.09,-30572811.0,Lake78
2019-07-02 21:00:00,339697904,-0.08,0.05,-0.13,-44160728,2019-07-02,2019-07-02 12:00:00,339697904.86485046,-0.12,-0.01,-0.11,-37366770.0,Lake78
2019-10-02 04:30:00,339697904,0.3,0.25,0.05,16984895,2019-10-02,2019-10-01 18:00:00,339697904.86485046,0.1,0.03,0.07,23778853.0,Lake78
2020-01-01 12:00:00,339697904,0.33,-0.01,0.34,115497288,2020-01-01,2020-01-01 00:00:00,339697904.86485046,0.27,0.06,0.21,71336560.0,Lake78
2020-04-01 19:30:00,339697904,0.29,0.02,0.27,91718434,2020-04-01,2020-04-01 12:00:00,339697904.86485046,0.17,0.06,0.11,37366770.0,Lake78
2020-07-02 03:00:00,339697904,-0.14,0.13,-0.27,-91718434,2020-07-02,2020-07-02 00:00:00,339697904.86485046,-0.06,0.06,-0.12,-40763749.0,Lake78
2020-10-01 10:30:00,339697904,-0.19,0.03,-0.22,-74733539,2020-10-01,2020-10-01 12:00:00,339697904.86485046,-0.12,0.04,-0.16,-54351665.0,Lake78
2020-12-31 18:00:00,339697904,-0.06,-0.06,0.0,0,2020-12-31,2021-01-01 00:00:00,339697904.86485046,-0.08,-0.02,-0.06,-20381874.0,Lake78
2021-04-02 01:30:00,339697904,0.11,-0.07,0.18,61145623,2021-04-02,2021-04-02 06:00:00,339697904.86485046,-0.05,-0.04,-0.01,-3396979.0,Lake78
2021-07-02 09:00:00,339697904,0.11,0.23,-0.12,-40763749,2021-07-02,2021-07-02 12:00:00,339697904.86485046,-0.05,-0.04,-0.01,-3396979.0,Lake78
