mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),date,mid_pt_datetime_CS2,stationary_outline_area (m^2)_CS2,stationary_outline_dh (m)_CS2,stationary_outline_region_dh (m)_CS2,stationary_outline_dh_corr (m)_CS2,stationary_outline_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,148901673,0.04,0.04,0.0,0,2019-01-01,2019-01-01 00:00:00,148901673.10748982,0.04,0.04,0.0,0.0,Rutford_1
2019-04-02 13:30:00,148901673,0.34,0.2,0.14,20846234,2019-04-02,2019-04-02 06:00:00,148901673.10748982,0.1,0.03,0.07,10423117.0,Rutford_1
2019-07-02 21:00:00,148901673,-0.04,0.18,-0.22,-32758368,2019-07-02,2019-07-02 12:00:00,148901673.10748982,0.06,-0.01,0.07,10423117.0,Rutford_1
2019-10-02 04:30:00,148901673,-0.15,-0.18,0.03,4467050,2019-10-02,2019-10-01 18:00:00,148901673.10748982,0.08,-0.02,0.1,14890167.0,Rutford_1
2020-01-01 12:00:00,148901673,-0.22,-0.16,-0.06,-8934100,2020-01-01,2020-01-01 00:00:00,148901673.10748982,0.06,-0.01,0.07,10423117.0,Rutford_1
2020-04-01 19:30:00,148901673,0.67,0.23,0.44,65516736,2020-04-01,2020-04-01 12:00:00,148901673.10748982,0.03,-0.02,0.05,7445084.0,Rutford_1
2020-07-02 03:00:00,148901673,-0.5,0.02,-0.52,-77428870,2020-07-02,2020-07-02 00:00:00,148901673.10748982,-0.05,-0.01,-0.04,-5956067.0,Rutford_1
2020-10-01 10:30:00,148901673,-0.2,-0.17,-0.03,-4467050,2020-10-01,2020-10-01 12:00:00,148901673.10748982,-0.04,-0.02,-0.02,-2978033.0,Rutford_1
2020-12-31 18:00:00,148901673,0.13,-0.12,0.25,37225418,2020-12-31,2021-01-01 00:00:00,148901673.10748982,0.02,-0.02,0.04,5956067.0,Rutford_1
2021-04-02 01:30:00,148901673,0.36,0.14,0.22,32758368,2021-04-02,2021-04-02 06:00:00,148901673.10748982,0.03,-0.01,0.04,5956067.0,Rutford_1
2021-07-02 09:00:00,148901673,0.52,0.17,0.35,52115586,2021-07-02,2021-07-02 12:00:00,148901673.10748982,0.02,-0.0,0.02,2978033.0,Rutford_1
