mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),date,mid_pt_datetime_CS2,stationary_outline_area (m^2)_CS2,stationary_outline_dh (m)_CS2,stationary_outline_region_dh (m)_CS2,stationary_outline_dh_corr (m)_CS2,stationary_outline_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,122468037,-0.11,-0.14,0.03,3674041,2019-01-01,2019-01-01 00:00:00,122468037.55516548,-0.11,-0.14,0.03,3674041.0,Site_A
2019-04-02 13:30:00,122468037,-0.31,-0.29,-0.02,-2449361,2019-04-02,2019-04-02 06:00:00,122468037.55516548,-0.18,-0.18,0.0,0.0,Site_A
2019-07-02 21:00:00,122468037,-0.24,-0.18,-0.06,-7348082,2019-07-02,2019-07-02 12:00:00,122468037.55516548,-0.28,-0.21,-0.07,-8572763.0,Site_A
2019-10-02 04:30:00,122468037,-0.38,-0.13,-0.25,-30617009,2019-10-02,2019-10-01 18:00:00,122468037.55516548,-0.4,-0.24,-0.16,-19594886.0,Site_A
2020-01-01 12:00:00,122468037,-1.3,-0.61,-0.69,-84502946,2020-01-01,2020-01-01 00:00:00,122468037.55516548,-0.48,-0.24,-0.24,-29392329.0,Site_A
2020-04-01 19:30:00,122468037,-0.88,-0.12,-0.76,-93075709,2020-04-01,2020-04-01 12:00:00,122468037.55516548,-0.39,-0.2,-0.19,-23268927.0,Site_A
2020-07-02 03:00:00,122468037,0.52,0.34,0.18,22044247,2020-07-02,2020-07-02 00:00:00,122468037.55516548,-0.26,-0.15,-0.11,-13471484.0,Site_A
2020-10-01 10:30:00,122468037,-0.01,-0.08,0.07,8572763,2020-10-01,2020-10-01 12:00:00,122468037.55516548,-0.19,-0.13,-0.06,-7348082.0,Site_A
2020-12-31 18:00:00,122468037,-0.22,-0.28,0.06,7348082,2020-12-31,2021-01-01 00:00:00,122468037.55516548,-0.17,-0.13,-0.04,-4898722.0,Site_A
2021-04-02 01:30:00,122468037,-0.12,-0.44,0.32,39189772,2021-04-02,2021-04-02 06:00:00,122468037.55516548,-0.15,-0.13,-0.02,-2449361.0,Site_A
2021-07-02 09:00:00,122468037,0.14,-0.12,0.26,31841690,2021-07-02,2021-07-02 12:00:00,122468037.55516548,-0.14,-0.13,-0.01,-1224680.0,Site_A
