mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),date,mid_pt_datetime_CS2,stationary_outline_area (m^2)_CS2,stationary_outline_dh (m)_CS2,stationary_outline_region_dh (m)_CS2,stationary_outline_dh_corr (m)_CS2,stationary_outline_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,272542982,0.03,0.02,0.01,2725430,2019-01-01,2019-01-01 00:00:00,272542982.52847385,0.03,0.02,0.01,2725430.0,Slessor_1
2019-04-02 13:30:00,272542982,-0.08,-0.01,-0.07,-19078009,2019-04-02,2019-04-02 06:00:00,272542982.52847385,-0.05,-0.04,-0.01,-2725430.0,Slessor_1
2019-07-02 21:00:00,272542982,0.08,0.09,-0.01,-2725430,2019-07-02,2019-07-02 12:00:00,272542982.52847385,0.03,0.02,0.01,2725430.0,Slessor_1
2019-10-02 04:30:00,272542982,-0.05,0.03,-0.08,-21803439,2019-10-02,2019-10-01 18:00:00,272542982.52847385,0.07,0.04,0.03,8176289.0,Slessor_1
2020-01-01 12:00:00,272542982,0.45,0.09,0.36,98115474,2020-01-01,2020-01-01 00:00:00,272542982.52847385,0.07,0.02,0.05,13627149.0,Slessor_1
2020-04-01 19:30:00,272542982,0.01,-0.08,0.09,24528868,2020-04-01,2020-04-01 12:00:00,272542982.52847385,0.06,0.03,0.03,8176289.0,Slessor_1
2020-07-02 03:00:00,272542982,-0.15,-0.01,-0.14,-38156018,2020-07-02,2020-07-02 00:00:00,272542982.52847385,0.02,0.02,0.0,0.0,Slessor_1
2020-10-01 10:30:00,272542982,-0.02,0.03,-0.05,-13627149,2020-10-01,2020-10-01 12:00:00,272542982.52847385,0.05,0.06,-0.01,-2725430.0,Slessor_1
2020-12-31 18:00:00,272542982,-0.02,0.04,-0.06,-16352579,2020-12-31,2021-01-01 00:00:00,272542982.52847385,0.07,0.09,-0.02,-5450860.0,Slessor_1
2021-04-02 01:30:00,272542982,-0.14,-0.1,-0.04,-10901719,2021-04-02,2021-04-02 06:00:00,272542982.52847385,0.08,0.08,0.0,0.0,Slessor_1
2021-07-02 09:00:00,272542982,0.02,0.08,-0.06,-16352579,2021-07-02,2021-07-02 12:00:00,272542982.52847385,0.09,0.08,0.01,2725430.0,Slessor_1
