mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),date,mid_pt_datetime_CS2,stationary_outline_area (m^2)_CS2,stationary_outline_dh (m)_CS2,stationary_outline_region_dh (m)_CS2,stationary_outline_dh_corr (m)_CS2,stationary_outline_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,55948059,-0.05,-0.18,0.13,7273248,2019-01-01,2019-01-01 00:00:00,55948059.21765995,-0.05,-0.18,0.13,7273248.0,TL96
2019-04-02 13:30:00,55948059,-0.04,-0.08,0.04,2237922,2019-04-02,2019-04-02 06:00:00,55948059.21765995,-0.01,-0.11,0.1,5594806.0,TL96
2019-07-02 21:00:00,55948059,0.41,0.22,0.19,10630131,2019-07-02,2019-07-02 12:00:00,55948059.21765995,-0.03,-0.1,0.07,3916364.0,TL96
2019-10-02 04:30:00,55948059,0.56,0.32,0.24,13427534,2019-10-02,2019-10-01 18:00:00,55948059.21765995,0.05,-0.04,0.09,5035325.0,TL96
2020-01-01 12:00:00,55948059,-0.39,-0.44,0.05,2797403,2020-01-01,2020-01-01 00:00:00,55948059.21765995,0.16,0.03,0.13,7273248.0,TL96
2020-04-01 19:30:00,55948059,-0.33,-0.36,0.03,1678442,2020-04-01,2020-04-01 12:00:00,55948059.21765995,0.14,0.06,0.08,4475845.0,TL96
2020-07-02 03:00:00,55948059,0.58,0.42,0.16,8951689,2020-07-02,2020-07-02 00:00:00,55948059.21765995,0.06,0.01,0.05,2797403.0,TL96
2020-10-01 10:30:00,55948059,-0.01,-0.16,0.15,8392209,2020-10-01,2020-10-01 12:00:00,55948059.21765995,-0.02,-0.04,0.02,1118961.0,TL96
2020-12-31 18:00:00,55948059,-0.36,-0.32,-0.04,-2237922,2020-12-31,2021-01-01 00:00:00,55948059.21765995,-0.08,-0.08,0.0,0.0,TL96
2021-04-02 01:30:00,55948059,-0.25,-0.31,0.06,3356884,2021-04-02,2021-04-02 06:00:00,55948059.21765995,-0.1,-0.1,0.0,0.0,TL96
2021-07-02 09:00:00,55948059,0.11,-0.07,0.18,10070651,2021-07-02,2021-07-02 12:00:00,55948059.21765995,-0.1,-0.1,0.0,0.0,TL96
