mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),date,mid_pt_datetime_CS2,stationary_outline_area (m^2)_CS2,stationary_outline_dh (m)_CS2,stationary_outline_region_dh (m)_CS2,stationary_outline_dh_corr (m)_CS2,stationary_outline_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,658401462,-0.09,-0.17,0.08,52672117,2019-01-01,2019-01-01 00:00:00,658401462.6393979,-0.09,-0.17,0.08,52672117.0,Thw_124
2019-04-02 13:30:00,658401462,-0.24,-0.22,-0.02,-13168029,2019-04-02,2019-04-02 06:00:00,658401462.6393979,-0.12,-0.13,0.01,6584015.0,Thw_124
2019-07-02 21:00:00,658401462,0.04,0.05,-0.01,-6584015,2019-07-02,2019-07-02 12:00:00,658401462.6393979,-0.16,-0.08,-0.08,-52672117.0,Thw_124
2019-10-02 04:30:00,658401462,0.16,0.27,-0.11,-72424161,2019-10-02,2019-10-01 18:00:00,658401462.6393979,-0.19,-0.05,-0.14,-92176205.0,Thw_124
2020-01-01 12:00:00,658401462,-0.5,-0.35,-0.15,-98760219,2020-01-01,2020-01-01 00:00:00,658401462.6393979,-0.21,-0.06,-0.15,-98760219.0,Thw_124
2020-04-01 19:30:00,658401462,-0.35,-0.24,-0.11,-72424161,2020-04-01,2020-04-01 12:00:00,658401462.6393979,-0.19,-0.1,-0.09,-59256132.0,Thw_124
2020-07-02 03:00:00,658401462,0.13,0.25,-0.12,-79008176,2020-07-02,2020-07-02 00:00:00,658401462.6393979,-0.21,-0.13,-0.08,-52672117.0,Thw_124
2020-10-01 10:30:00,658401462,-0.18,-0.11,-0.07,-46088102,2020-10-01,2020-10-01 12:00:00,658401462.6393979,-0.24,-0.14,-0.1,-65840146.0,Thw_124
2020-12-31 18:00:00,658401462,-0.63,-0.38,-0.25,-164600366,2020-12-31,2021-01-01 00:00:00,658401462.6393979,-0.25,-0.16,-0.09,-59256132.0,Thw_124
2021-04-02 01:30:00,658401462,-0.29,-0.23,-0.06,-39504088,2021-04-02,2021-04-02 06:00:00,658401462.6393979,-0.24,-0.17,-0.07,-46088102.0,Thw_124
2021-07-02 09:00:00,658401462,-0.2,-0.1,-0.1,-65840146,2021-07-02,2021-07-02 12:00:00,658401462.6393979,-0.23,-0.17,-0.06,-39504088.0,Thw_124
