midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-02-15 21:45:00,174008666,-0.28,-0.04,-0.24,-41762080
2019-05-18 05:15:00,174008666,-0.25,-0.03,-0.22,-38281907
2019-08-17 12:45:00,174008666,-0.01,0.06,-0.07,-12180607
2019-11-16 20:15:00,174008666,-0.13,-0.11,-0.02,-3480173
2020-02-16 03:45:00,174008666,0.17,-0.04,0.21,36541820
2020-05-17 11:15:00,174008666,0.36,0.11,0.25,43502167
2020-08-16 18:45:00,174008666,0.21,-0.03,0.24,41762080
2020-11-16 02:15:00,174008666,0.17,0.1,0.07,12180607
2021-02-15 09:45:00,174008666,-0.1,-0.12,0.02,3480173
2021-05-17 17:15:00,174008666,-0.05,-0.02,-0.03,-5220260
2021-08-17 00:45:00,174008666,0.09,0.1,-0.01,-1740087
2021-11-16 08:15:00,174008666,-0.02,-0.03,0.01,1740087
2022-02-15 15:45:00,174008666,-0.11,-0.11,0.0,0
2022-05-17 23:15:00,174008666,0.09,0.04,0.05,8700433
2022-08-17 06:45:00,174008666,0.17,0.16,0.01,1740087
2022-11-16 14:15:00,174008666,-0.24,-0.16,-0.08,-13920693
2023-02-15 21:45:00,174008666,0.07,0.03,0.04,6960347
2023-05-18 05:15:00,174008666,0.29,0.07,0.22,38281907
2023-08-17 12:45:00,174008666,0.09,0.11,-0.02,-3480173
2023-11-16 20:15:00,174008666,0.1,-0.05,0.15,26101300
2024-02-16 03:45:00,174008666,-0.94,-0.2,-0.74,-128766413
2024-05-17 11:15:00,174008666,-0.12,0.2,-0.32,-55682773
2024-08-16 18:45:00,174008666,-0.35,-0.11,-0.24,-41762080
