mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-04-02 13:30:00,126061220,-0.44,-0.16,-0.28,-35297142
2019-07-02 21:00:00,126061220,-0.14,-0.04,-0.1,-12606122
2019-10-02 04:30:00,126061220,0.17,-0.04,0.21,26472856
2020-01-01 12:00:00,126061220,-0.13,-0.03,-0.1,-12606122
2020-04-01 19:30:00,126061220,-0.24,-0.14,-0.1,-12606122
2020-07-02 03:00:00,126061220,0.19,-0.01,0.2,25212244
2020-10-01 10:30:00,126061220,0.07,-0.09,0.16,20169795
2020-12-31 18:00:00,126061220,0.29,0.21,0.08,10084898
2021-04-02 01:30:00,126061220,-0.05,-0.12,0.07,8824285
2021-07-02 09:00:00,126061220,0.16,-0.05,0.21,26472856
2021-10-01 16:30:00,126061220,0.17,-0.01,0.18,22691020
2022-01-01 00:00:00,126061220,-0.37,0.04,-0.41,-51685100
2022-04-02 07:30:00,126061220,0.2,0.1,0.1,12606122
2022-07-02 15:00:00,126061220,0.44,0.1,0.34,42860815
2022-10-01 22:30:00,126061220,0.49,0.07,0.42,52945713
2023-01-01 06:00:00,126061220,0.0,-0.18,0.18,22691020
2023-04-02 13:30:00,126061220,0.15,0.01,0.14,17648571
2023-07-02 21:00:00,126061220,0.21,0.02,0.19,23951632
2023-10-02 04:30:00,126061220,0.08,0.0,0.08,10084898
2024-01-01 12:00:00,126061220,0.13,0.1,0.03,3781837
2024-04-01 19:30:00,126061220,-0.05,-0.13,0.08,10084898
2024-07-02 03:00:00,126061220,0.12,0.0,0.12,15127346
2024-10-01 10:30:00,126061220,0.63,0.15,0.48,60509386
2024-12-31 18:00:00,126061220,1.4,0.13,1.27,160097750
