mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-04-02 13:30:00,125567197,0.05,0.08,-0.03,-3767016
2019-07-02 21:00:00,125567197,0.21,0.03,0.18,22602096
2019-10-02 04:30:00,125567197,0.38,0.16,0.22,27624783
2020-01-01 12:00:00,125567197,-0.09,-0.05,-0.04,-5022688
2020-04-01 19:30:00,125567197,0.06,0.02,0.04,5022688
2020-07-02 03:00:00,125567197,0.1,0.03,0.07,8789704
2020-10-01 10:30:00,125567197,0.08,0.06,0.02,2511344
2020-12-31 18:00:00,125567197,0.03,-0.03,0.06,7534032
2021-04-02 01:30:00,125567197,-0.01,-0.03,0.02,2511344
2021-07-02 09:00:00,125567197,0.12,0.12,0.0,0
2021-10-01 16:30:00,125567197,0.08,0.02,0.06,7534032
2022-01-01 00:00:00,125567197,0.02,-0.04,0.06,7534032
2022-04-02 07:30:00,125567197,0.02,-0.0,0.02,2511344
2022-07-02 15:00:00,125567197,-0.09,0.05,-0.14,-17579408
2022-10-01 22:30:00,125567197,-0.1,-0.02,-0.08,-10045376
2023-01-01 06:00:00,125567197,-0.07,-0.04,-0.03,-3767016
2023-04-02 13:30:00,125567197,-0.0,0.02,-0.02,-2511344
2023-07-02 21:00:00,125567197,0.4,0.14,0.26,32647471
2023-10-02 04:30:00,125567197,0.47,0.23,0.24,30136127
2024-01-01 12:00:00,125567197,-0.13,-0.13,0.0,0
2024-04-01 19:30:00,125567197,0.1,0.01,0.09,11301048
2024-07-02 03:00:00,125567197,0.2,0.2,0.0,0
2024-10-01 10:30:00,125567197,0.04,-0.01,0.05,6278360
2024-12-31 18:00:00,125567197,0.03,-0.01,0.04,5022688
