mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-04-02 13:30:00,262932904.94965965,0.12,0.03,0.09,23663961.0
2019-07-02 21:00:00,262932904.94965965,0.19,0.04,0.15,39439936.0
2019-10-02 04:30:00,262932904.94965965,-0.33,-0.01,-0.32,-84138530.0
2020-01-01 12:00:00,262932904.94965965,-0.47,-0.16,-0.31,-81509201.0
2020-04-01 19:30:00,262932904.94965965,0.15,0.04,0.11,28922620.0
2020-07-02 03:00:00,262932904.94965965,0.17,0.08,0.09,23663961.0
2020-10-01 10:30:00,262932904.94965965,0.55,-0.0,0.55,144613098.0
2020-12-31 18:00:00,262932904.94965965,0.09,-0.01,0.1,26293290.0
2021-04-02 01:30:00,262932904.94965965,0.02,-0.02,0.04,10517316.0
2021-07-02 09:00:00,262932904.94965965,0.17,0.09,0.08,21034632.0
2021-10-01 16:30:00,262932904.94965965,0.06,-0.0,0.06,15775974.0
2022-01-01 00:00:00,262932904.94965965,-0.05,-0.08,0.03,7887987.0
2022-04-02 07:30:00,262932904.94965965,0.09,0.06,0.03,7887987.0
2022-07-02 15:00:00,262932904.94965965,0.09,0.03,0.06,15775974.0
2022-10-01 22:30:00,262932904.94965965,0.0,-0.03,0.03,7887987.0
2023-01-01 06:00:00,262932904.94965965,-0.06,0.05,-0.11,-28922620.0
2023-04-02 13:30:00,262932904.94965965,-0.76,-0.15,-0.61,-160389072.0
2023-07-02 21:00:00,262932904.94965965,-0.08,0.03,-0.11,-28922620.0
2023-10-02 04:30:00,262932904.94965965,0.24,0.12,0.12,31551949.0
2024-01-01 12:00:00,262932904.94965965,-0.03,-0.12,0.09,23663961.0
2024-04-01 19:30:00,262932904.94965965,0.15,0.01,0.14,36810607.0
2024-07-02 03:00:00,262932904.94965965,0.34,0.11,0.23,60474568.0
2024-10-01 10:30:00,262932904.94965965,0.77,0.03,0.74,194570350.0
2024-12-31 18:00:00,262932904.94965965,0.18,0.06,0.12,31551949.0
